layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_peakiness,boundary_ratio,boundary_suppression,num_observations
9,0,0.19481230315562947,0.18477813083658962,0.07763288939950383,0.5954186847519456,0.7827555578983889,0.21724443829211015,0.44449135616798535,0.3716966800391674,0.26005643052693317,0.7399435694730669,80
9,1,0.19439567319650305,0.1830622686195813,0.07865728351467013,0.63137844824989,0.8629373560670487,0.13706264484859346,0.43400779025372244,0.3780927300453186,0.28835246281785315,0.7116475371821468,80
9,2,0.17832718764889602,0.16112132561422582,0.0710419348407613,0.6283060478527519,0.8319017462956632,0.16809825735319314,0.39732994906029756,0.364547910168767,0.2717145709210429,0.7282854290789571,80
9,3,0.18903137159251232,0.18457181392780964,0.07313311250779009,0.6172423466421176,0.798466392356636,0.20153361254530494,0.42197175034216416,0.36519307009875773,0.24995978890671539,0.7500402110932847,80
10,0,0.1973582402112072,0.2016308602265784,0.07418284871290967,0.6361728262397901,0.804816505930179,0.19518350014687819,0.4025459810199729,0.34379376359283925,0.24099844387695862,0.7590015561230414,80
10,1,0.1831122715899482,0.16818964127314429,0.07223802565104048,0.6614642061919789,0.8528890205008709,0.1471109767811211,0.38129346359916433,0.35638171099126337,0.25674749646354045,0.7432525035364594,80
10,2,0.19777074178904558,0.1818022801429826,0.07662299370529459,0.6691950041645736,0.8311538287635732,0.16884616901903535,0.38368481969363405,0.3523017786443233,0.23059207728332382,0.7694079227166761,80
10,3,0.16933383986905773,0.1533541099335637,0.06587655166299147,0.6781285475810933,0.8696822322484945,0.13031776299580108,0.3562694829216232,0.3424850802868605,0.2502461632840277,0.7497538367159723,80
11,0,0.139539240697212,0.12972197367006122,0.04942959463631322,0.5599017680025317,0.6886330547577966,0.3113669533472104,0.32665417008416314,0.3032255623489618,0.21995682796986177,0.7800431720301383,80
11,1,0.17487998262555143,0.16622429575991882,0.06615488975883041,0.6148355440282857,0.7856936423188465,0.2143063594623304,0.38780282955757606,0.34497615694999695,0.260318772647533,0.7396812273524669,80
11,2,0.20438165230245425,0.17286001922793218,0.08393773075260548,0.6430859318118751,0.8448868275376403,0.1551131748756052,0.41176278900435614,0.36948423758149146,0.25244818142986486,0.7475518185701351,80
11,3,0.16823226387474205,0.17390901888523388,0.06053220297231378,0.6034948794957772,0.7829613942033375,0.21703860137770875,0.38699213208322714,0.33774421364068985,0.26011941430817503,0.7398805856918249,80
