bin,x,local_density,global_density
67,0.3375,4.952198746859351e-06,4.171816581150296e-06
68,0.3425,2.3781038259344035e-06,1.803106298537767e-06
69,0.34750000000000003,3.796548279129935e-06,3.0626349842220535e-06
70,0.35250000000000004,1.9394316216314146e-06,1.4200294879928224e-06
71,0.3575,3.567290226370386e-06,2.74733124587449e-06
72,0.3625,2.619594897391742e-06,1.9542664207438993e-06
73,0.3675,2.9432668968528402e-06,2.133110021969394e-06
74,0.3725,4.2584266087807955e-06,3.139923557586492e-06
75,0.3775,2.496317660483309e-06,1.8053722515140422e-06
76,0.3825,3.870374942551985e-06,2.9762296946955757e-06
77,0.3875,3.2388069019835172e-06,2.5499705107366172e-06
78,0.3925,4.254541139238315e-06,3.349644843837621e-06
79,0.3975,2.8587188686642827e-06,2.2105581640911326e-06
80,0.4025,8.477733595262699e-06,7.3472125216816105e-06
81,0.40750000000000003,4.6977796600634865e-06,3.741084984837044e-06
82,0.41250000000000003,1.4172326306221776e-05,1.1790900822345473e-05
83,0.41750000000000004,7.538034078514064e-06,5.570533722462011e-06
84,0.4225,6.691470091203771e-06,5.617189541407224e-06
85,0.4275,3.5219277262921405e-06,2.931839229260583e-06
86,0.4325,5.7472247743469185e-06,4.984027878479964e-06
87,0.4375,2.8296199561783415e-06,2.4130079449308566e-06
88,0.4425,3.829464624951303e-06,3.2590214895746466e-06
89,0.4475,2.6366616487055173e-06,2.133817895529616e-06
90,0.4525,3.288006396638705e-06,2.6709725152706633e-06
91,0.4575,2.4411379229150043e-06,1.8702437358797397e-06
92,0.4625,3.7591802215293144e-06,3.093577789039333e-06
93,0.4675,2.659521836896917e-06,2.096021036698644e-06
94,0.47250000000000003,3.860812345887357e-06,3.1424306642720137e-06
95,0.47750000000000004,3.0827467255374692e-06,2.513647799403594e-06
96,0.4825,4.0772055578080265e-06,3.391032466925954e-06
97,0.4875,2.9561696433340646e-06,2.420191216450413e-06
98,0.4925,5.17144068585738e-06,4.3656309386204495e-06
99,0.4975,4.862877596437732e-06,4.007596192026336e-06
100,0.5025,8.766083228739281e-06,7.633554321621571e-06
101,0.5075,5.789947856416746e-06,4.603451634292172e-06
102,0.5125,1.4984318540325835e-05,1.199084656212906e-05
103,0.5175,6.9269404220022455e-06,5.080143903550917e-06
104,0.5225,6.015482384504028e-06,4.866659364153042e-06
105,0.5275,2.943897561171794e-06,2.266993897021574e-06
106,0.5325,5.168639497859269e-06,4.273256457295526e-06
107,0.5375,2.95975971865499e-06,2.3991070565086503e-06
108,0.5425,4.087682109062668e-06,3.32232276686487e-06
109,0.5475,2.5992827198010394e-06,2.1583162933615203e-06
110,0.5525,2.557851997220477e-06,2.092144474461896e-06
111,0.5575,3.9805959639412615e-06,3.2177327802705064e-06
112,0.5625,3.6662754711512335e-06,2.928819007328624e-06
113,0.5675,4.352589048657907e-06,3.5209751368834264e-06
114,0.5725,4.8555934809228905e-06,3.869773556581484e-06
115,0.5775,4.612304935006027e-06,3.815706638853991e-06
116,0.5824999999999999,4.456141411714159e-06,3.642559325188052e-06
117,0.5874999999999999,3.446299477993344e-06,2.865249358917156e-06
118,0.5924999999999999,5.632795626538888e-06,4.609612569383063e-06
119,0.5974999999999999,5.700009377765777e-06,4.655532467616152e-06
120,0.6024999999999999,8.894900171194608e-06,7.5443310132246845e-06
121,0.6074999999999999,1.554364158038174e-05,1.3030277342778038e-05
122,0.6124999999999999,1.4856968410102275e-05,1.1815142282993831e-05
123,0.6174999999999999,8.55334538565163e-06,7.01398702362059e-06
124,0.6224999999999999,7.59115276855018e-06,5.966717910213243e-06
125,0.6275,5.2114432163789946e-06,4.214370914250678e-06
126,0.6325,6.2937921749918895e-06,5.571698421203091e-06
127,0.6375,4.545636480666148e-06,3.7733423837658957e-06
128,0.6425,5.221259042644176e-06,4.437944433132599e-06
129,0.6475,4.9562513575145724e-06,3.985794900152504e-06
130,0.6525,4.20344011244503e-06,3.510279400450841e-06
131,0.6575,5.261297906261053e-06,4.358708022140008e-06
132,0.6625,4.590382174836457e-06,3.7801468452318325e-06
133,0.6675,4.875911799342934e-06,3.9873615482789246e-06
134,0.6725,4.2038806486511835e-06,3.5356070979411683e-06
135,0.6775,5.8049027439219755e-06,4.831007630651139e-06
136,0.6825,4.076444288121282e-06,3.3799615666840528e-06
137,0.6875,5.468986383833425e-06,4.634510576159542e-06
138,0.6925,4.515137737942087e-06,3.7256675775134512e-06
139,0.6975,6.656758128484602e-06,5.668555640953372e-06
140,0.7025,1.2009738584334181e-05,1.0405208013775317e-05
141,0.7074999999999999,2.6345901082262275e-05,2.1642424415831e-05
142,0.7124999999999999,1.129166751488068e-05,8.905321553301088e-06
143,0.7174999999999999,8.996911839060384e-06,7.311555407341075e-06
144,0.7224999999999999,6.532171401626588e-06,5.35946723336834e-06
145,0.7274999999999999,5.196804121327177e-06,4.374551652438882e-06
146,0.7324999999999999,3.7970239541395204e-06,3.1251525057581027e-06
147,0.7374999999999999,6.254537916590278e-06,5.087313669248163e-06
148,0.7424999999999999,4.606610878115635e-06,3.766134106072337e-06
149,0.7474999999999999,6.85663996698483e-06,6.009149372493529e-06
150,0.7525,4.818222403660652e-06,4.016971724249928e-06
151,0.7575,5.10519474777984e-06,4.382886162119928e-06
152,0.7625,4.298333606106543e-06,3.4435448569360123e-06
153,0.7675,8.249772070413126e-06,6.977921525712729e-06
154,0.7725,6.3282859494680744e-06,4.981783641719816e-06
155,0.7775,6.578298614478664e-06,5.526561206384681e-06
156,0.7825,5.666317172060134e-06,4.691786399717432e-06
157,0.7875,8.344260831391897e-06,7.424378947819475e-06
158,0.7925,5.591456436943599e-06,4.7530408481606525e-06
159,0.7975,8.131200930313993e-06,7.0695866516333045e-06
160,0.8025,2.6809560239951456e-05,2.2772465142076485e-05
161,0.8075,2.581999872198102e-05,2.0678231823360558e-05
162,0.8125,1.1996603281928326e-05,9.913992422687962e-06
163,0.8175,1.0151779811306425e-05,7.531613174107258e-06
164,0.8225,9.253144453071269e-06,7.819359203269916e-06
165,0.8275,7.46474798585477e-06,6.380074781919593e-06
166,0.8325,7.263906167576333e-06,5.618590790410675e-06
167,0.8374999999999999,5.920980555919302e-06,4.6403925397016234e-06
168,0.8424999999999999,7.64095695305458e-06,6.163918965517134e-06
169,0.8474999999999999,6.652904496476998e-06,5.425715504926228e-06
170,0.8524999999999999,7.791089937738286e-06,6.58331280029805e-06
171,0.8574999999999999,6.18491588618187e-06,4.9984016113415104e-06
172,0.8624999999999999,9.264444527416902e-06,7.5583462761159705e-06
173,0.8674999999999999,7.650336658919198e-06,5.95524566759251e-06
174,0.8724999999999999,1.0462335493991064e-05,8.576554740923767e-06
175,0.8775,9.704501385200199e-06,8.006836694687768e-06
176,0.8825,1.3176539364301752e-05,1.132846667339473e-05
177,0.8875,6.507669505894302e-06,5.296001434402922e-06
178,0.8925,1.063993621458821e-05,8.823435798743104e-06
179,0.8975,1.0825791038110319e-05,8.960178173735437e-06
180,0.9025,5.2141807215348866e-05,4.206000381387008e-05
181,0.9075,1.8696424727026243e-05,1.3645911581404238e-05
182,0.9125,2.254892521997525e-05,1.789852497353775e-05
183,0.9175,1.022894460392104e-05,7.578139805652464e-06
184,0.9225,1.615903976279028e-05,1.3299515478999118e-05
185,0.9275,8.447798867441447e-06,6.490055920311051e-06
186,0.9325,1.1864035699619883e-05,9.599046816440338e-06
187,0.9375,8.584028313523551e-06,6.616429511920466e-06
188,0.9425,1.3794399384138085e-05,1.1220825123988403e-05
189,0.9475,8.11742389297084e-06,6.319228910630342e-06
190,0.9525,1.1329443506666598e-05,8.897795620082063e-06
191,0.9575,9.252276184059025e-06,6.731775162411766e-06
192,0.9624999999999999,1.3486706649826151e-05,1.041090244043795e-05
193,0.9674999999999999,1.1075008398727138e-05,8.280996703596039e-06
194,0.9724999999999999,1.5480797774866266e-05,1.2241261135052494e-05
195,0.9774999999999999,1.0385624493989911e-05,7.765783258102082e-06
196,0.9824999999999999,1.8495030962630878e-05,1.4756061416067365e-05
197,0.9874999999999999,1.2795103844252611e-05,9.667478893533723e-06
198,0.9924999999999999,1.9298751467709847e-05,1.534078882987531e-05
199,0.9975,2.5866561621077548e-05,2.0330337703426824e-05
