layer,kv_head,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations
9,1,0.8420497491343681,0.8500776798999259,0.6515398957429929,0.021593808777081787,0.7503135951700279,0.169482319014804,0.3224793347995728,0.38426412977278235,80
9,2,0.8534663028696106,0.8869319759763465,0.6228212121348073,0.021510298620238028,0.7044851587506933,0.17925107230868473,0.37619266314432026,0.46006889729760586,80
9,3,0.8964929521052551,0.9224406818433748,0.6642602240317699,0.021781124630275678,0.727008367590289,0.15532810789915058,0.4125130989588797,0.4954667638987303,80
10,0,0.8265150630186693,0.8695710344272004,0.5671375452533993,0.02197411386862368,0.6637896693698286,0.1586470004196958,0.40919800465926526,0.4789274317212403,80
10,1,0.7520791865567645,0.772140986692023,0.5494631675573072,0.022308160300911963,0.6830425824393352,0.1617394186017779,0.4131900853419211,0.4970776770147495,80
10,2,0.848476357247008,0.8475148744296137,0.6155191103501709,0.02100029110511719,0.7018237854126368,0.14765621090200273,0.4896981424128171,0.5712808003183454,80
10,3,0.6774638705223994,0.6482836189626024,0.46986446186678243,0.021687786816414013,0.6437118550327249,0.1480980708804005,0.4508749659489695,0.5542403482882946,80
11,0,0.7969634371465041,0.8250384861109262,0.5117043886491931,0.02212201726477029,0.6143731843388085,0.12633264636669184,0.34705958732083675,0.4364935746707488,80
11,1,0.7718344821718441,0.7765452975829437,0.5601830606531911,0.02151903625894018,0.6882686792143485,0.13887055983372407,0.29954094350105154,0.3537842003628612,80
11,2,0.6865616010185767,0.6674187226817125,0.4995954903141226,0.021689879853214498,0.6800298011915769,0.1408649909566152,0.3025742229227035,0.4122467418186716,80
11,3,0.8316813574975737,0.8366893228804115,0.5522442930396515,0.022027872384190367,0.6413027727958365,0.12750192429919685,0.4270204199012369,0.5008212509565055,80
12,0,0.8143636425765196,0.826350684223074,0.6055403793535824,0.021743146724311473,0.7127447656721949,0.16737863459598962,0.4349516676564235,0.5200817173696123,80
12,1,0.8613689412588382,0.8679832849274287,0.5332220806701246,0.02170937983435124,0.6036735251065918,0.1242230975768663,0.386515839304775,0.4644859340507537,80
12,2,0.8459649921070135,0.8368592371741306,0.5435696258101639,0.021141062560047854,0.6208818573565078,0.1498437391733964,0.3724663533270359,0.4392882246524096,80
12,3,0.7343742097148602,0.744451228771222,0.5021510196684743,0.021848109819430108,0.6579846145010207,0.11607742446722327,0.32848553168587385,0.3948288018582389,80
13,0,0.8320255189505161,0.844057987005958,0.5865919570998678,0.021411756396153024,0.677082441996224,0.17114511802258092,0.4475534093566239,0.5309232664760202,80
