layer,kv_head,q_heads,score_sum,score_mean_q,score_max_q,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations,sparse_rank,u_rank,sparse_quantile
6,2,14-20,0.0,0.0,0.0,0.7725341989882873,0.8306595825504419,0.5229208955505958,0.022170924098559,0.63624560153937,0.1629681912300372,0.4769687991261889,0.5566410294864909,80,96,57,Q1_low
6,3,21-27,0.0,0.0,0.0,0.7123606209489567,0.701180836014667,0.4999696905489633,0.0218639579294299,0.6533168125341511,0.1648599904609684,0.4668103284566314,0.5712193686515092,80,96,75,Q1_low
7,0,0-6,345.5660275078044,49.36657535825777,345.5422179839949,0.7107804394457611,0.7444036998757465,0.5579636477134493,0.0213454952889992,0.7217880080057448,0.1735962693329105,0.2735665472748224,0.3731495118816383,80,36,76,Q4
7,1,7-13,0.465935471178438,0.0665622101683482,0.4227982162764772,0.7238478274155696,0.7254590141121042,0.5548456274826284,0.0216449977131856,0.7096436439493201,0.1610790199898354,0.3894410287670325,0.502899153996259,80,86,74,Q2
7,2,14-20,12.496240437805678,1.7851772054008113,9.410130751502848,0.7931426339342136,0.8401010815598184,0.5575080973465942,0.0217370813923626,0.6562222138688761,0.172426191283658,0.2730064637027681,0.3342332149390131,80,60,51,Q3
7,3,21-27,17.33114523586776,2.4758778908382517,7.649254052110504,0.7822706775813899,0.8346290619464574,0.5509811750114453,0.0216806959129747,0.6672330654144338,0.1679578737746612,0.3057790032122284,0.366959270555526,80,58,54,Q3
8,0,0-6,3.392493863623053,0.484641980517579,1.7453938625300855,0.9318617955166644,0.9557166566084878,0.7057187906051685,0.0218875738441292,0.7498721396302167,0.1600740213384758,0.371418147184886,0.4332088923081755,80,72,12,Q2
8,1,7-13,28.264113095230996,4.037730442175856,20.154351970572023,0.8177991829301903,0.8450931256785021,0.6076597826570278,0.0220855403354689,0.7136375895605911,0.1211594443294032,0.3918515404686332,0.4638806547969579,80,55,46,Q3
8,2,14-20,0.0,0.0,0.0,0.7620991117776225,0.8203389736314183,0.5968020054348117,0.0216178648948532,0.7479426560245631,0.1488479022110638,0.2416774536723096,0.3283427781316277,80,96,62,Q1_low
8,3,21-27,1213.260300573806,173.32290008197228,643.4565498491863,0.6771214020185221,0.6523483084101802,0.5152448385188854,0.0217189611168598,0.7247707689187155,0.0923921151597318,0.2068641510792076,0.2461353872902691,80,13,91,Q5_high
9,0,0-6,106.12336357867622,15.16048051123946,100.20564383393192,0.8972063418494851,0.9266927674159288,0.6809208833741123,0.0217428858152949,0.7438054886244612,0.1658188789074531,0.3614175566472113,0.4337244907394051,80,51,18,Q3
9,1,7-13,289.4822773642291,41.35461105203273,275.6894407974456,0.8420497491343681,0.8500776798999259,0.6515398957429929,0.0215938087770817,0.7503135951700279,0.169482319014804,0.3224793347995728,0.3842641297727823,80,41,36,Q4
9,2,14-20,1.4743048983180562,0.210614985474008,0.8240495615495615,0.8534663028696106,0.8869319759763465,0.6228212121348073,0.021510298620238,0.7044851587506933,0.1792510723086847,0.3761926631443202,0.4600688972976058,80,80,32,Q2
9,3,21-27,30.361331869073336,4.337333124153334,13.556992578955676,0.8964929521052551,0.9224406818433748,0.6642602240317699,0.0217811246302756,0.727008367590289,0.1553281078991505,0.4125130989588797,0.4954667638987303,80,54,20,Q3
10,0,0-6,159.43696998888583,22.77670999841226,159.36152913503753,0.8265150630186693,0.8695710344272004,0.5671375452533993,0.0219741138686236,0.6637896693698286,0.1586470004196958,0.4091980046592652,0.4789274317212403,80,47,42,Q3
10,1,7-13,3.019966449250981,0.4314237784644259,2.5761539000011258,0.7520791865567645,0.772140986692023,0.5494631675573072,0.0223081603009119,0.6830425824393352,0.1617394186017779,0.4131900853419211,0.4970776770147495,80,73,68,Q2
