class,bin,x,mean_density,local_density,global_density
current,8,0.0425,1.5386918424489046e-05,1.6244599533907402e-05,1.452923731507069e-05
current,9,0.0475,4.0165637953047186e-05,4.4259881743105976e-05,3.6071394162988396e-05
current,10,0.052500000000000005,2.065742893253852e-05,2.228593523490751e-05,1.902892263016953e-05
current,11,0.0575,7.106920381971804e-06,7.230053246246002e-06,6.9837875176976065e-06
current,12,0.0625,4.530765605024968e-06,4.939867214733266e-06,4.12166399531667e-06
current,13,0.0675,4.329024575355057e-05,4.4389045027318474e-05,4.2191446479782666e-05
current,14,0.07250000000000001,5.562313738401862e-06,5.919386140731917e-06,5.205241336071807e-06
current,15,0.0775,1.0646153387179019e-05,1.1161132612918273e-05,1.0131174161439763e-05
current,16,0.0825,5.9528332755022555e-06,6.474184558016957e-06,5.431481992987555e-06
current,17,0.08750000000000001,5.507915075811495e-06,6.088821726501471e-06,4.9270084251215196e-06
current,18,0.0925,5.613373358656673e-06,6.363844137257059e-06,4.862902580056287e-06
current,19,0.0975,6.039321200364538e-06,6.545793691923809e-06,5.5328487088052665e-06
current,20,0.10250000000000001,6.1206640546177224e-06,6.581691909471008e-06,5.659636199764437e-06
current,21,0.1075,4.745703579491288e-06,5.1651893537004445e-06,4.326217805282131e-06
current,22,0.1125,4.676654111448983e-06,5.016090553185264e-06,4.337217669712702e-06
current,23,0.11750000000000001,9.648002113798221e-06,1.0210183661427011e-05,9.085820566169433e-06
current,24,0.1225,8.000750373465456e-06,8.69598780830281e-06,7.305512938628099e-06
current,25,0.1275,6.682417957325594e-06,7.112669665941342e-06,6.252166248709845e-06
current,26,0.1325,4.3771909974947296e-06,4.724431340848283e-06,4.029950654141176e-06
current,27,0.1375,4.48692237013533e-06,4.747747062403753e-06,4.226097677866909e-06
current,28,0.14250000000000002,5.659701866047815e-06,6.002088536266964e-06,5.317315195828666e-06
current,29,0.1475,5.580777674836483e-06,5.9132987133039795e-06,5.248256636368987e-06
current,30,0.1525,5.015184877466138e-06,5.333875295106098e-06,4.696494459826179e-06
current,31,0.1575,4.474221074074253e-06,4.823281101409945e-06,4.1251610467385605e-06
current,32,0.1625,5.6664682672130144e-06,5.914353218750867e-06,5.418583315675163e-06
current,33,0.1675,1.0143643779689706e-05,1.0578724243998011e-05,9.7085633153814e-06
current,34,0.17250000000000001,5.961273840297695e-06,6.2509416355024685e-06,5.67160604509292e-06
current,35,0.17750000000000002,7.854620389554084e-06,8.153816354250355e-06,7.555424424857812e-06
current,36,0.1825,6.275120230097915e-06,6.555179082512608e-06,5.9950613776832206e-06
current,37,0.1875,8.236008766134132e-06,8.574785428660791e-06,7.897232103607473e-06
current,38,0.1925,1.151681592011792e-05,1.1841380231221858e-05,1.1192251609013982e-05
current,39,0.1975,6.059846694668451e-05,7.524610378570653e-05,4.595083010766249e-05
current,40,0.2025,0.0002072409453074048,0.0002139463468003592,0.00020053554381445042
current,41,0.20750000000000002,1.0009982743811149e-05,1.0734152445516506e-05,9.285813042105793e-06
current,42,0.2125,1.0786576096898904e-05,1.1488066411993124e-05,1.0085085781804685e-05
current,43,0.2175,0.0005660906801311185,0.0006160726326634354,0.0005161087275988016
current,44,0.2225,1.502115926519445e-05,1.6369897924629516e-05,1.3672420605759383e-05
