region,bin,x,local_density,global_density
previous,57,-0.7125,2.8261396778361814e-06,2.212581246309889e-06
previous,58,-0.7075,3.803072021836976e-06,3.1261260099197395e-06
previous,59,-0.7025000000000001,9.27254638031975e-06,8.047093887278593e-06
previous,60,-0.6975,1.777571822532947e-05,1.6249076977118483e-05
previous,61,-0.6925000000000001,1.8340087957374854e-05,1.688825535551626e-05
previous,62,-0.6875,2.4514650351343497e-05,2.3545157926028363e-05
previous,63,-0.6825000000000001,1.0645610700956528e-05,1.1676154042068363e-05
previous,64,-0.6775,3.3271939893106906e-06,2.7491117256018624e-06
previous,65,-0.6725000000000001,3.923366748796645e-06,3.2013660443493215e-06
previous,66,-0.6675,3.70809771691755e-06,2.9870123827078842e-06
previous,67,-0.6625000000000001,3.207970335340958e-06,2.6386587766832496e-06
previous,68,-0.6575,2.7299967901895724e-06,2.180928077117577e-06
previous,69,-0.6525000000000001,2.6621375516346956e-06,2.052661880977017e-06
previous,70,-0.6475,6.762605121586918e-06,5.852902962216404e-06
previous,71,-0.6425000000000001,1.6136908242844807e-05,1.511507345836616e-05
previous,72,-0.6375000000000001,7.629771157182256e-06,7.287154298760655e-06
previous,73,-0.6325000000000001,3.6623929979239674e-06,2.8986288791262565e-06
previous,74,-0.6275000000000001,3.497203852078906e-06,2.9470778026931693e-06
previous,75,-0.6225,1.8999995710941404e-05,1.377745789286248e-05
previous,76,-0.6175,4.729285763164974e-05,4.5548886928326265e-05
previous,77,-0.6125,1.3346803884190755e-05,1.4569292088662204e-05
previous,78,-0.6075,3.541237880565915e-06,2.7495396518495872e-06
previous,79,-0.6025,5.490400641919019e-06,4.534875141272857e-06
previous,80,-0.5975,1.6624558620574066e-05,1.424192402925321e-05
previous,81,-0.5925,6.228408654824678e-06,6.226166192681264e-06
previous,82,-0.5875,2.2741727422514105e-05,1.7020884787597175e-05
previous,83,-0.5825,1.4722117870514829e-05,1.4812645974493953e-05
previous,84,-0.5775000000000001,4.693662066939879e-06,3.87772975931667e-06
previous,85,-0.5725,5.136422337110551e-06,4.107664643691917e-06
previous,86,-0.5675000000000001,4.947419501705526e-06,3.909797939989946e-06
previous,87,-0.5625,4.556862678143437e-06,3.421605532275166e-06
previous,88,-0.5575000000000001,4.354382651239557e-06,3.400719025746314e-06
previous,89,-0.5525,5.2069006247337506e-06,3.65965813328989e-06
previous,90,-0.5475000000000001,7.631729941083773e-06,5.502324970980597e-06
previous,91,-0.5425,4.826713903553911e-06,3.7052951013810787e-06
previous,92,-0.5375000000000001,5.100432735752506e-06,3.928248095606398e-06
previous,93,-0.5325,5.418996604551383e-06,3.926588317006124e-06
previous,94,-0.5275000000000001,3.1952287127630686e-06,2.629127842092945e-06
previous,95,-0.5225,2.9369824568912196e-06,2.3732188765279716e-06
previous,96,-0.5175000000000001,4.190177503402287e-06,3.562699987324378e-06
previous,97,-0.5125000000000001,3.823114409106076e-06,3.2057386846853037e-06
previous,98,-0.5075000000000001,3.698138255670909e-06,2.9008786310031126e-06
previous,99,-0.5025000000000001,9.461424145122376e-06,7.979788920853044e-06
previous,100,-0.49750000000000005,4.1893169877163685e-06,3.3834684097539546e-06
previous,101,-0.49250000000000005,8.092489452463046e-06,6.504373501445339e-06
previous,102,-0.48750000000000004,3.5059404641294944e-06,2.9315863942287603e-06
previous,103,-0.48250000000000004,3.7562623460280054e-06,2.998132515585894e-06
previous,104,-0.47750000000000004,5.79986656767497e-06,4.362121031081234e-06
previous,105,-0.47250000000000003,2.4584141597733367e-06,2.010992341865278e-06
previous,106,-0.4675,6.589209144935086e-06,5.578215537156564e-06
previous,107,-0.4625,4.172590289685178e-06,3.557740501694947e-06
previous,108,-0.4575,1.5158696784596384e-05,1.2802133608669445e-05
previous,109,-0.4525,1.1904888361462846e-05,1.0058584379345232e-05
previous,110,-0.4475,6.857380187495567e-06,5.607833926131541e-06
previous,111,-0.4425,9.72767512459021e-06,7.972201860077487e-06
previous,112,-0.4375,2.8083028710472384e-06,2.3099677359307315e-06
previous,113,-0.4325,8.559633543709377e-06,6.719589483986269e-06
previous,114,-0.4275,2.672593760050812e-06,2.1936524333619782e-06
previous,115,-0.4225,4.218254297697689e-06,3.4238179547018336e-06
previous,116,-0.4175000000000001,3.2331539008324325e-06,2.7724856814339377e-06
previous,117,-0.4125000000000001,5.596555393701553e-06,4.62593053307083e-06
previous,118,-0.4075000000000001,4.747756962940132e-06,4.009812179347415e-06
previous,119,-0.4025000000000001,4.124671449850277e-06,3.4656657774689847e-06
previous,120,-0.3975000000000001,4.3149650757502e-06,3.543596545738387e-06
previous,121,-0.39250000000000007,2.761980513288127e-06,2.1840230348045353e-06
