region,bin,x,local_density,global_density
previous,34,-0.8275,1.2702480236928945e-05,1.1178501645497826e-05
previous,35,-0.8225,1.2719693189661038e-05,1.1234698156851481e-05
previous,36,-0.8175000000000001,3.889285157029286e-05,3.155804995614196e-05
previous,37,-0.8125,2.6667797592507405e-05,2.320627821109939e-05
previous,38,-0.8075000000000001,2.7253211323640317e-05,2.591011746097379e-05
previous,39,-0.8025,1.5030174598886146e-05,1.3878625534672861e-05
previous,40,-0.7975000000000001,6.911413826337745e-06,6.7352568428070035e-06
previous,41,-0.7925,3.304124781843027e-05,2.5449121219376323e-05
previous,42,-0.7875000000000001,3.22886906453532e-05,2.7209218276666276e-05
previous,43,-0.7825000000000001,2.2581774370857662e-05,1.820737513781108e-05
previous,44,-0.7775000000000001,3.509892912073031e-05,2.968452672795638e-05
previous,45,-0.7725000000000001,2.2081298825116904e-05,2.0049319410038543e-05
previous,46,-0.7675000000000001,4.073094078223119e-05,2.8031174303228104e-05
previous,47,-0.7625000000000001,5.1318980360715255e-05,4.432162809158464e-05
previous,48,-0.7575000000000001,2.630678354573258e-05,2.1913183893979798e-05
previous,49,-0.7525000000000001,1.9627749794486654e-05,1.8237133087910618e-05
previous,50,-0.7475,4.575169773538625e-05,3.8716328306622116e-05
previous,51,-0.7425,5.5465176003152534e-05,5.0391845662594346e-05
previous,52,-0.7375,3.3611892473369866e-05,3.171717147696328e-05
previous,53,-0.7325,1.4235831804768685e-05,1.2450169365050914e-05
previous,54,-0.7275,2.816400001175536e-05,2.3445168302735182e-05
previous,55,-0.7225,1.9753672374206102e-05,1.9410481600773752e-05
previous,56,-0.7175,1.0083564756513397e-05,8.612861085629915e-06
previous,57,-0.7125,2.864392759141011e-05,2.3688370208188535e-05
previous,58,-0.7075,3.373646723381816e-05,2.8841344284289825e-05
previous,59,-0.7025000000000001,2.0898456600586624e-05,1.9006050542878822e-05
previous,60,-0.6975,2.3298295115526515e-05,2.1315996441094243e-05
previous,61,-0.6925000000000001,1.2168333574499697e-05,1.1131057407281701e-05
previous,62,-0.6875,2.3234024818723135e-05,2.0765181043737512e-05
previous,63,-0.6825000000000001,1.3423576822619083e-05,1.287080159468788e-05
previous,64,-0.6775,1.0047866989630305e-05,8.8515656835954e-06
previous,65,-0.6725000000000001,2.169962793057236e-05,1.9080799183969687e-05
previous,66,-0.6675,7.030767781374465e-06,6.587875138759721e-06
previous,67,-0.6625000000000001,1.6821814540435298e-05,1.3540723833549882e-05
previous,68,-0.6575,1.7026839267010116e-05,1.5835787823741943e-05
previous,69,-0.6525000000000001,8.601746803165031e-06,7.573074146449699e-06
previous,70,-0.6475,2.7933324353226076e-05,2.4279914468004788e-05
previous,71,-0.6425000000000001,2.899479153246756e-05,2.7118244280121654e-05
previous,72,-0.6375000000000001,2.1771548810853132e-05,1.9214363212668383e-05
previous,73,-0.6325000000000001,3.197646886832217e-05,2.6419727457443238e-05
previous,74,-0.6275000000000001,3.477328778149406e-05,3.0555914833827875e-05
previous,75,-0.6225,3.125811134462513e-05,2.5227584291915985e-05
previous,76,-0.6175,3.2112368360906644e-05,3.139104265911626e-05
previous,77,-0.6125,2.2571479297755254e-05,2.0522047716008158e-05
previous,78,-0.6075,2.178284586879984e-05,1.9494375096624683e-05
previous,79,-0.6025,1.6358412046298206e-05,1.4020177511905477e-05
previous,80,-0.5975,1.8186311035475687e-05,1.634008274577186e-05
previous,81,-0.5925,9.01359522951183e-06,8.932169230833472e-06
previous,82,-0.5875,1.7054421256110967e-05,1.37259094238408e-05
previous,83,-0.5825,3.0181181671957396e-05,2.76370585757099e-05
previous,84,-0.5775000000000001,1.1186446582577937e-05,1.0756673870175735e-05
previous,85,-0.5725,1.475375436105775e-05,1.1050033794156793e-05
previous,86,-0.5675000000000001,1.1912738774607792e-05,1.0220970031118482e-05
previous,87,-0.5625,1.8540519445343877e-05,1.478807214136685e-05
previous,88,-0.5575000000000001,3.5667397837727615e-05,3.012186473300489e-05
previous,89,-0.5525,2.8079988253842153e-05,2.3878059439984534e-05
previous,90,-0.5475000000000001,2.017017767726935e-05,1.7877841225526357e-05
previous,91,-0.5425,8.110636565735445e-06,7.316932363871891e-06
previous,92,-0.5375000000000001,8.311932838954682e-06,7.239547862634098e-06
previous,93,-0.5325,1.6104029060148622e-05,1.3083390293948988e-05
previous,94,-0.5275000000000001,2.0391141309241508e-05,1.8221788488577955e-05
previous,95,-0.5225,5.636318024186823e-06,4.9790296212886086e-06
previous,96,-0.5175000000000001,1.026829762355767e-05,8.95620665638009e-06
previous,97,-0.5125000000000001,2.3691306476704845e-05,2.043506382004001e-05
previous,98,-0.5075000000000001,7.283759786261902e-06,6.698544556552905e-06
previous,99,-0.5025000000000001,7.945998593908375e-06,6.896487743038701e-06
previous,100,-0.49750000000000005,7.036498624693636e-06,6.171438481592699e-06
previous,101,-0.49250000000000005,8.309326207780737e-06,7.157218051892001e-06
previous,102,-0.48750000000000004,4.462896715948522e-06,3.848209885569415e-06
previous,103,-0.48250000000000004,1.687369620739787e-05,1.4341834623119398e-05
previous,104,-0.47750000000000004,2.1562438781497445e-05,1.8664808390012963e-05
previous,105,-0.47250000000000003,1.8400499555022115e-05,1.597347635416039e-05
previous,106,-0.4675,1.0322938112951516e-05,9.508901984904475e-06
previous,107,-0.4625,2.721295109768455e-05,2.2404335631672927e-05
previous,108,-0.4575,6.595612135210944e-05,5.720351705192848e-05
previous,109,-0.4525,3.829612169889928e-05,3.373709159917576e-05
previous,110,-0.4475,1.0653774993309813e-05,9.342447409683617e-06
previous,111,-0.4425,1.5880579068106254e-05,1.3678630042523783e-05
previous,112,-0.4375,5.05315616600959e-06,4.8841042343363655e-06
previous,113,-0.4325,1.294530847158278e-05,1.0953092017990221e-05
previous,114,-0.4275,7.966870994423818e-06,6.545986047960494e-06
previous,115,-0.4225,1.9687371876560815e-05,1.658132487753041e-05
previous,116,-0.4175000000000001,8.122542941230953e-06,7.656099423262016e-06
previous,117,-0.4125000000000001,7.757558996376925e-06,6.83440983052304e-06
previous,118,-0.4075000000000001,7.6024570079813225e-06,6.70498308028068e-06
previous,119,-0.4025000000000001,2.683957455312689e-05,2.1518987083058563e-05
previous,120,-0.3975000000000001,3.364148769219877e-05,2.9197611068055648e-05
previous,121,-0.39250000000000007,2.3308645013843587e-05,2.224306979351113e-05
previous,122,-0.38750000000000007,1.687946956230766e-05,1.4907936902331737e-05
