layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,spiky_readout_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_top1_concentration,internal_top4_concentration,internal_top8_concentration,internal_peakiness,internal_peak_to_median,internal_log_peak_to_median,boundary_ratio,boundary_suppression,num_observations
12,3,0.007408991454814363,0.0004253960268437607,0.003724890456542605,0.026048292958427963,0.04330644306632213,0.5438399771077007,0.4561599980382812,0.44654312672062785,0.118275162471209,0.26592034333408265,0.3434518960847932,0.3232719227671623,10214.413929349728,8.741705169855623,0.8599829830917564,0.14001701690824364,4
13,0,0.03768099398446653,0.0006008669383013335,0.021189387446326733,0.17698544768512403,0.09931575053128533,0.6263522095309741,0.3736477946523959,0.5157963514526862,0.1562622447863746,0.301489799905199,0.37670646703982136,0.3987617492675781,60241.5715914394,9.991259162980125,0.8049557398073324,0.19504426019266757,4
13,1,0.009406873871124847,0.0018567878051896315,0.002050943717540834,0.008373675047183685,0.07621064164108214,0.5544322037360422,0.4455678230273862,0.28785920552536143,0.05553578056284632,0.13958854055559144,0.18462685774890328,0.2066040188074112,1534.4095315863724,7.12464345742869,0.7903901416940855,0.2096098583059145,4
13,2,0.017280372870973393,0.0056043592795343615,0.010079082835375928,0.14136996481077851,0.06287083870175743,0.4455741500186911,0.5544258344672794,0.5250367666875988,0.11385720370816273,0.2683055543030154,0.3540343198763001,0.40374622493982315,348952555.62317765,12.546113002731804,0.7139389488656951,0.2860610511343049,4
13,3,0.013884584112197599,0.006055517609755931,0.004594444326728409,0.016354916204288424,0.08060333852033164,0.4359893217223946,0.5640107070283434,0.422949667599965,0.06940252686817078,0.15383374671234734,0.22262644893360364,0.3279673904180527,17605.491926718012,9.609380224496261,0.7294789621056997,0.27052103789430026,4
14,0,0.15555612488046588,0.0019760894794812896,0.12135190476088412,1.4075003592861104,0.2066243418939122,0.9058204966504909,0.0941795305313829,0.6808212983833792,0.2916568205166502,0.48143413363077975,0.5592213172076321,0.5150585733354092,166254.5859335673,10.52427951720184,0.7531318734144251,0.24686812658557492,4
14,1,0.03198601462306602,0.003170349589331857,0.015180122426313426,0.07336862578891448,0.11973584234929943,0.7222845998599849,0.27771538891493636,0.6224329778833171,0.14684785500157532,0.3357092065486919,0.45000965292802,0.44405779987573624,56979.727597264566,10.317004481486332,0.8085659053290211,0.19143409467097897,4
14,2,0.03540413558775612,0.03009994960851118,0.01746109040999305,0.1480194920629713,0.18708303057593476,0.767617532327444,0.23238249625537677,0.6671517686145401,0.29744716978374786,0.47338952328502176,0.557723299755415,0.5118529051542282,380554.0470009293,10.857887060959962,0.7644697377431712,0.23553026225682885,4
14,3,0.026911557860880914,0.00666005612877112,0.01232025158504308,0.06963403905165746,0.10532891399725829,0.4528813865437683,0.5471185964637688,0.4861514379395727,0.0727266414589745,0.19206211691548797,0.28647676395251215,0.37198346853256226,48976.22661257835,10.232928439606383,0.7275109458347353,0.27248905416526464,4
15,0,0.00981738219513482,0.004620379017008944,0.0019480884537845607,0.0032505131701150505,0.08461173640665039,0.30588621400636207,0.6941138399616124,0.25500696171720344,0.02501506361869992,0.06635719862170415,0.10710673683983331,0.22402581572532654,1653.5943378708123,7.161713087401755,0.600315434487737,0.39968456551226295,4
15,1,0.0022683367845390593,0.0007150506842804436,0.00042437405238116184,0.002303509181462782,0.03242304613092183,0.34840640388707195,0.6515936131316595,0.39783169549298886,0.10419616046887376,0.22171293640120643,0.283335620248492,0.296828992664814,2640810.286166737,9.502193973608332,0.640368050058123,0.35963194994187697,4
15,2,0.014073456602712085,0.00028140643302082676,0.006151801706526762,0.03339264448714259,0.056112124132107026,0.6400154620676342,0.3599845710126236,0.36730750782244076,0.05985633178410597,0.1660481798301915,0.2226728575944109,0.27889397740364075,4004.7313370536267,7.851130352610335,0.846408057939082,0.15359194206091803,4
15,3,0.010819178552261121,0.0014753333143380548,0.003009508364627146,0.012884383198340399,0.06273163918799522,0.39676895644781185,0.6032310383189186,0.3238691248572335,0.06491009049276239,0.1532752130132493,0.20937447451339464,0.22516921162605286,1812.6288361291781,7.234263118987357,0.745241128883509,0.254758871116491,4
16,0,0.020119459334809374,0.002560678623495892,0.010235466512066593,0.04151701714257727,0.0764191401306538,0.6766450127802862,0.32335499399906376,0.5425225837280098,0.10276382239942373,0.25041198223720346,0.3537190179312481,0.3819637820124626,38014.570133626636,9.459293919463812,0.8176744565265934,0.18232554347340654,4
16,1,0.22759727962170118,0.18592729986413042,0.18862724929139071,2.489792759807976,0.3397403582147276,0.9675986878257433,0.03240134164356675,0.7606294251733139,0.3891563806930486,0.6305442632789926,0.6865762523257279,0.6126633416861296,1274461.7634966755,11.880371522446026,0.6513671471807204,0.3486328528192796,4
16,2,0.06744491490193824,0.003663856478794132,0.043801799015100146,0.63280921219274,0.1516841917534234,0.8740805614206806,0.12591939291348464,0.7378852830102112,0.21193247913116658,0.4599809265434147,0.5762743554589805,0.5327594205737114,4185303101.8800874,19.101528104105007,0.8247665100968271,0.17523348990317292,4
16,3,0.013962488583808958,0.0013076610213716006,0.005430056318462697,0.030210821593330828,0.04947418165651834,0.4977282205559276,0.5022718132074749,0.5343268649785974,0.12755650141972485,0.3045475917370541,0.3760673032232907,0.36374631524086,7292.253037345937,8.877873096405693,0.7530323048035449,0.24696769519645514,4
17,0,0.007975929010727517,0.0015432666474340404,0.004310207081969527,0.03405754118809797,0.055014328357112646,0.4783013271827226,0.521698690258357,0.538297360391322,0.15700235203071977,0.28991088064879056,0.360403539166536,0.3915465921163559,137589.2476893392,10.028393510918226,0.8617779724946006,0.1382220275053993,4
17,1,0.11520705645569368,0.028594269100424268,0.07357724723750073,0.448769323553718,0.23047188790052162,0.878799837591562,0.12120018211855416,0.681025679543944,0.2632987941951311,0.44250448793320296,0.548785637421529,0.5019704028964043,104076.16252767747,10.445343035226172,0.7449599934146064,0.25504000658539355,4
