layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,spiky_readout_score,internal_readout_share,memory_readout_share,current_readout_share,current_core_readout_share,clean_internal_readout_share,internal_topk_concentration,internal_top1_concentration,internal_top4_concentration,internal_top8_concentration,internal_peakiness,internal_peak_to_median,internal_log_peak_to_median,previous_boundary_ratio,current_start_boundary_ratio,transition_boundary_ratio,boundary_ratio,boundary_suppression,num_observations
8,2,0.006149956992213698,0.006428918033067934,0.0018797500591947347,0.01465356023978079,0.03237519455553312,0.4781403532526808,0.5218596156821173,0.4579595328988527,0.07594261083628147,0.499707361647859,0.21024392463794742,0.3703785423442485,0.419542003477182,0.374569833278656,9382820.739389716,10.478952822431122,0.721106725958174,0.10918017531461527,0.5096652219101662,0.5096652219101662,0.4903347780898339,4
8,3,0.00216471853759548,0.0007563946367986605,0.000598040533929957,0.002802965444534465,0.03205810569210974,0.8741718333934004,0.12582818179437322,0.1223232357511422,0.17099831785896114,0.3292590950746568,0.0625077960632299,0.1631293532417555,0.21160438131438364,0.26788027584552765,5816.742121554043,8.633462671135504,0.7739564741242405,0.028125859381046447,0.8456186669184331,0.8456186669184331,0.15438133308156693,4
9,0,0.0034514717347363132,0.0030635661422755895,0.0008222125123038504,0.0016997558311355814,0.032020422766994114,0.6192031585000783,0.3807968381269935,0.3663151532701917,0.08600393432989137,0.2852616033516008,0.02719191952809809,0.08018880419727024,0.12816359639805056,0.23464348912239075,1325.7550487725975,7.07433430390194,0.741309037318756,0.03624454947906769,0.6016644325243795,0.6016644325243795,0.3983355674756205,4
9,1,0.00236226051766475,0.001838522595087677,0.0004975995470863118,0.0017081947468402887,0.023690155551486628,0.6644813469496086,0.3355186357337068,0.3269797828912635,0.070469924854505,0.266657261161747,0.04850936757583037,0.11150032291197336,0.1534128928735206,0.20986005663871765,1316.8827538119085,7.081990125603791,0.7806549016149129,0.02467839048499015,0.649330068138229,0.649330068138229,0.3506699318617709,4
9,2,0.006933091949097115,0.006577855666594924,0.0011680770809867564,0.0019747850030705956,0.05549852401116512,0.5007189968164734,0.4992810067878075,0.4917524633776873,0.1018966543517764,0.22842331356067327,0.01992105346224708,0.06587543103454846,0.10689766705008247,0.1703738421201706,440.46073420734484,6.061077327889411,0.726282762459293,0.01448111396078924,0.45274900922681366,0.45274900922681366,0.5472509907731863,4
9,3,0.007713102071744155,0.007904368335287962,0.0025011529596172984,0.008060264035147691,0.043341712622256404,0.6034438864528204,0.3965561444139869,0.386344170153303,0.10651757053336466,0.4177726319347644,0.05330886178563022,0.14683033610237486,0.21958314946373514,0.3267504572868347,9200.184991179927,9.080761123344665,0.7554591979900522,0.02485485232516885,0.5703141502959292,0.5703141502959292,0.42968584970407075,4
10,0,0.010112716470912891,0.005198993499941171,0.0018823000870280457,0.0036820576513650703,0.0703939661700587,0.36760715272166367,0.6323928328795884,0.6006998317623798,0.11097329766566813,0.22672256588067885,0.025002841344285456,0.06970325804237673,0.10465197621984051,0.18445543944835663,688.0259903448259,6.471449841655018,0.6592414672623734,0.047538910651355,0.3289061658088458,0.3289061658088458,0.6710938341911542,4
10,1,0.004632462308020146,0.0038752390931855053,0.001153512709365514,0.004310341108189561,0.03295419504610156,0.6448226442968026,0.3551773977270221,0.3382795260578381,0.09063932080764636,0.33049376066379976,0.06801565780222614,0.15567080982464696,0.2068553754413412,0.24325761198997498,2415.9588759293647,7.7666077224098515,0.7757052197366567,0.041889802903213355,0.6287663276841962,0.6287663276841962,0.37123367231580384,4
10,2,0.0035432467824296184,0.0024130137894469977,0.0009935199371869134,0.0029884292369010516,0.022985795436160517,0.3953430132770918,0.6046569868161701,0.5911622931590499,0.057897031809353884,0.4100498667502121,0.08860441758751449,0.180916949466786,0.2352941936597018,0.32812071591615677,781628.0774793772,9.818423058378475,0.7758671270409482,0.020145361199138758,0.3858518545326436,0.3858518545326436,0.6141481454673564,4
10,3,0.008835942275031573,0.009012739032201825,0.002423647194826817,0.013191232961766572,0.037047395144896,0.49554496378387947,0.5044549778581672,0.4854950042789141,0.0745541965954281,0.34557888321574104,0.11164956000620255,0.21499809907685621,0.2567563340417611,0.23757164180278778,2677.4235438302426,7.744842791047604,0.8227758702379672,0.03595915738378207,0.4774575571908385,0.4774575571908385,0.5225424428091615,4
11,0,0.005772205457796125,0.0063793386498658,0.0011294270159321526,0.003538787167652831,0.035601531474977535,0.23643578376852484,0.7635642114691703,0.7467650871827387,0.052418957867466635,0.25704772841198636,0.053005472210261716,0.11968147282009911,0.15163143399905704,0.21399623155593872,2706.535565476819,7.432524947135468,0.6576493145149206,0.02138859994426957,0.21763338253566633,0.21763338253566633,0.7823666174643337,4
11,1,0.0019422322910192366,0.0016677886162184668,0.0003672060072747925,0.0008198079906633883,0.021628298261449658,0.6040800571907061,0.3959199301500631,0.38040033260320705,0.06428066963075917,0.22323154311437304,0.023971540983453225,0.07726363971353634,0.11138748973685796,0.18487438559532166,643.9555949990046,6.44931117539752,0.8829670867749981,0.03399683393350223,0.5979713281893789,0.5979713281893789,0.4020286718106211,4
11,2,0.006318273131061376,0.004543770149370536,0.0016599802839104031,0.012211310649117093,0.03605149994760261,0.42872139050450825,0.5712785930453507,0.5342764884276526,0.08024628645477848,0.4095885664630691,0.1370409136889609,0.29465136960247745,0.33309857596539594,0.30535589158535004,6717439.904069778,10.102852535711854,0.778257801467735,0.060702154418931197,0.4296719968220637,0.4296719968220637,0.5703280031779363,4
11,3,0.002607215935935043,0.001368695372590658,0.0007128421712092315,0.0018673977596116262,0.025455758389311987,0.7117566601733437,0.28824331609163967,0.27824387583534804,0.08276237598875984,0.25830050847652586,0.02492705829283418,0.07321744396406071,0.11557310080241821,0.24897505342960358,4002.9845385731205,8.146558453428542,0.8464440222036123,0.0333594936673631,0.6963003713758589,0.6963003713758589,0.30369962862414107,4
12,0,0.005582383542834165,0.004346081123147275,0.0008917027788962004,0.0019548087341777626,0.04338168262326884,0.482074986575895,0.5179250038404942,0.5085009438480182,0.07523432281916882,0.2113105617955338,0.020757760228878923,0.06394011477170436,0.10260902838348002,0.17104728519916534,503.0880590044819,6.204683577612585,0.8498331861809595,0.017586322490381823,0.44811736466037666,0.44811736466037666,0.5518826353396233,4
12,1,0.005759360483046283,0.006004321085492699,0.0012489431291740733,0.002339728384187661,0.04084995515526143,0.3243007800896459,0.6756992100130386,0.668320636501312,0.06034544187221648,0.21452254543108068,0.019438955637834366,0.05367160564222608,0.08589519769821348,0.2164756953716278,1800.2993789265706,7.061160482338314,0.7315081760207821,0.010764570333644124,0.29082944422605106,0.29082944422605106,0.7091705557739489,4
12,2,0.0028008564274930995,0.001748411252424234,0.0006608542465473991,0.0010202990552271244,0.0340266833029,0.6635422740354325,0.33645773241554805,0.3277625851356509,0.10230776055729829,0.20891582350330712,0.013805602478834292,0.047153386730084776,0.08086015914783312,0.2092183232307434,766.572311352714,6.54713427019709,0.8225321053340507,0.026466694894564706,0.638210734797214,0.638210734797214,0.361789265202786,4
