layer,head,score_sum,score_mean,nonzero,max
1,25,0.0196078431372549,1.9607843137254903e-05,1,0.0196078431372549
1,26,0.0,0.0,0,0.0
1,27,0.0,0.0,0,0.0
2,0,0.3956341044576338,0.0003956341044576338,9,0.1
2,1,0.0,0.0,0,0.0
2,2,0.0,0.0,0,0.0
2,3,0.0,0.0,0,0.0
2,4,343.6951287969141,0.3436951287969141,817,2.16919191919192
2,5,0.0,0.0,0,0.0
2,6,0.0,0.0,0,0.0
2,7,0.0,0.0,0,0.0
2,8,0.0,0.0,0,0.0
2,9,0.0,0.0,0,0.0
2,10,0.0,0.0,0,0.0
2,11,0.0,0.0,0,0.0
2,12,0.0,0.0,0,0.0
2,13,0.0,0.0,0,0.0
2,14,0.0,0.0,0,0.0
2,15,0.6255952380952381,0.0006255952380952381,10,0.16666666666666666
2,16,0.0,0.0,0,0.0
2,17,0.0,0.0,0,0.0
2,18,0.0,0.0,0,0.0
2,19,0.0,0.0,0,0.0
2,20,7.085599857129344,0.007085599857129344,130,0.2892857142857143
2,21,0.0,0.0,0,0.0
2,22,11.78396054947589,0.01178396054947589,237,0.25
2,23,0.0,0.0,0,0.0
2,24,0.44898459383753503,0.000448984593837535,9,0.1
2,25,0.0,0.0,0,0.0
2,26,124.1371131239683,0.1241371131239683,741,1.0
2,27,0.0,0.0,0,0.0
3,0,1.823249311124522,0.001823249311124522,55,0.09090909090909091
3,1,0.0,0.0,0,0.0
3,2,0.0,0.0,0,0.0
3,3,0.0,0.0,0,0.0
3,4,0.0,0.0,0,0.0
3,5,0.0,0.0,0,0.0
3,6,0.0,0.0,0,0.0
3,7,0.0,0.0,0,0.0
3,8,358.59404620375415,0.3585940462037541,810,9.18301143301143
3,9,0.0,0.0,0,0.0
3,10,0.0,0.0,0,0.0
3,11,37.890593242061485,0.03789059324206148,473,0.4666666666666667
3,12,0.24613636363636363,0.00024613636363636363,8,0.07142857142857142
3,13,0.13273809523809524,0.00013273809523809524,3,0.1
3,14,8.373189807922444,0.008373189807922444,139,0.9230158730158728
3,15,0.0,0.0,0,0.0
3,16,0.09027777777777778,9.027777777777777e-05,2,0.0625
