layer,head,eager_current_share_global,eager_current_share_local,manual_current_share_global,manual_current_share_local,manual_s_current_share,eager_s_current_share
0,26,0.5046928107738495,0.5104021966457367,0.5022584274411201,0.5053025528788566,0.5037804901599884,0.5075475037097932
0,27,0.5838991343975067,0.5899237543344498,0.5825169160962105,0.5871922343969345,0.5848545752465725,0.5869114443659782
1,0,0.476956582441926,0.4920635659247637,0.7798433601856232,0.7707747101783753,0.7753090351819992,0.48451007418334485
1,1,0.32759803235530854,0.29518685936927797,0.4889421006664634,0.4602991341147572,0.4746206173906103,0.31139244586229325
1,2,0.7364362120628357,0.7483065366744995,0.8148424863815308,0.8197554469108581,0.8172989666461945,0.7423713743686676
1,3,0.5823905223980546,0.5853395387530327,0.7744043409824372,0.750809234380722,0.7626067876815796,0.5838650305755436
1,4,0.6619943246245384,0.6575076729059219,0.8073717355728149,0.800030243396759,0.803700989484787,0.6597509987652301
1,5,0.7112817764282227,0.7200379610061646,0.8214353919029236,0.8211089491844177,0.8212721705436706,0.7156598687171936
1,6,0.5093039989471435,0.5020466685295105,0.5709943413734436,0.5448894023895263,0.557941871881485,0.5056753337383271
1,7,0.2531788647174835,0.2586026445031166,0.4047458618879318,0.4272756576538086,0.4160107597708702,0.2558907546103001
1,8,0.3803407035768032,0.426741086691618,0.7722454845905304,0.7763508439064026,0.7742981642484665,0.4035408951342106
1,9,0.2928657405078411,0.324023200571537,0.7478482484817505,0.7498005151748657,0.748824381828308,0.30844447053968904
1,10,0.40512688653543594,0.38882413497194646,0.5622944563627243,0.5272350072860718,0.544764731824398,0.3969755107536912
1,11,0.2001631807535887,0.21538248062133789,0.37294757962226865,0.37528816163539885,0.3741178706288337,0.20777283068746327
1,12,0.3775935681536794,0.40895289909094573,0.7051504969596862,0.6953743159770965,0.7002624064683913,0.3932732336223126
1,13,0.6798224747180939,0.5974163591861725,0.2007940429262817,0.19386535207740963,0.19732969750184565,0.6386194169521332
1,14,0.5437099322676658,0.5549825757741929,0.6685733079910279,0.6665747880935669,0.6675740480422974,0.5493462540209293
1,15,0.5181219309568406,0.5035651549696922,0.7677487015724183,0.7257333219051361,0.7467410117387772,0.5108435429632664
1,16,0.5844108074903488,0.5944935262203217,0.8286947250366211,0.8135152816772461,0.8211050033569336,0.5894521668553352
1,17,0.47381507270038126,0.4965381432324648,0.5942255675792694,0.5972613573074341,0.5957434624433517,0.48517660796642303
1,18,0.569912001490593,0.5717868000268936,0.7188852488994598,0.7071392357349395,0.7130122423171996,0.5708494007587432
1,19,0.5110079407691955,0.4967373423278332,0.6374337434768677,0.6485135078430175,0.6429736256599425,0.5038726415485144
1,20,0.5474379755556583,0.5485785126686096,0.6699199199676513,0.6469551175832748,0.6584375187754631,0.5480082441121339
1,21,0.528033384680748,0.5095251649618149,0.6617713272571564,0.6561916589736938,0.6589814931154251,0.5187792748212814
1,22,0.43407257795333865,0.42202267944812777,0.6662129461765289,0.6475955188274384,0.6569042325019836,0.4280476287007332
1,23,0.5583736017346382,0.5489733710885047,0.7975693106651306,0.782539451122284,0.7900543808937073,0.5536734864115715
1,24,0.5707620412111283,0.5842670351266861,0.7439413368701935,0.7287016391754151,0.7363214880228043,0.5775145381689072
1,25,0.5315485775470734,0.5062581866979599,0.6921351671218872,0.6812099516391754,0.6866725593805313,0.5189033821225166
1,26,0.4366381898522377,0.4235742762684822,0.6292372107505798,0.6346372723579407,0.6319372415542602,0.43010623306035994
1,27,0.5469984769821167,0.5537580072879791,0.7343233406543732,0.7327748119831086,0.7335490763187409,0.5503782421350478
