query,layer,head,manual_current_share,eager_current_share,manual_per_token_ratio,eager_per_token_ratio,abs_current_share_diff,num_observations
local,13,5,0.8209231972694397,0.49313930571079256,1.7966100215911864,0.3673924580216408,0.3277838945388794,5
local,13,6,0.7247721672058105,0.3580554351210594,0.8246129631996155,0.1880540855228901,0.3667167365550995,5
local,13,7,0.7975842356681824,0.704883474111557,355.15743935704234,6.318190310895443,0.15178512930870056,5
local,13,8,0.5185984641313552,0.35990092866122725,2.6468002036213876,0.5505321131087839,0.184193754196167,5
local,13,9,0.6874778032302856,0.5291649119928479,25.949743950366972,2.0757926637772472,0.22999413013458253,5
local,13,10,0.7150713384151459,0.5157170489430427,7.950153660774231,1.0980162298306824,0.2605039060115814,5
local,13,11,0.7885931015014649,0.5935225367546082,1.5497717022895814,0.44143396615982056,0.1950705647468567,5
local,13,12,0.7978346109390259,0.531201782822609,10.620987874269485,1.4369902901351452,0.26663283109664915,5
local,13,13,0.594009992480278,0.5104143668431789,2.738460025191307,3.704174600634724,0.16085180640220642,5
local,13,14,0.8098980188369751,0.5426830440759659,8.666665410995483,0.8162458799779415,0.2672149777412415,5
local,13,15,0.7406665265560151,0.41003344506025313,8.466600614786149,0.3736965000629425,0.33063308000564573,5
local,13,16,0.7619093060493469,0.5494878053665161,1.9765237748622895,0.4493479490280151,0.2124215006828308,5
local,13,17,0.8256111025810242,0.6751003324985504,1.887382411956787,0.8582799375057221,0.15051077008247377,5
local,13,18,0.7909239530563354,0.5761509776115418,1.5651105165481567,0.8503781780600548,0.23466886281967164,5
local,13,19,0.7466314792633056,0.4546217054128647,1.3007718980312348,0.30285861492156985,0.2920097768306732,5
local,13,20,0.7990708887577057,0.514434389770031,60.948013538122176,1.4253590248525143,0.2846364974975586,5
local,13,21,0.83328298330307,0.5939607799053193,2.6756776332855225,0.5842994391918183,0.23932220339775084,5
local,13,22,0.806354284286499,0.5815813273191452,2.545595109462738,0.5364090904593468,0.22477295398712158,5
local,13,23,0.7871819734573364,0.5115499526262284,2.013559603691101,0.4080873057246208,0.2756320178508759,5
local,13,24,0.7911964416503906,0.6304652363061904,2.308114010095596,1.0639489442110062,0.19832153916358947,5
local,13,25,0.7396935284137726,0.3730388402938843,2.271371966600418,0.18502278476953507,0.36665468811988833,5
local,13,26,0.810310673713684,0.6257601201534271,2.688084989786148,0.6811334311962127,0.18455055356025696,5
local,13,27,0.816202712059021,0.5745348244905472,4.119241189956665,0.6683808445930481,0.24166789054870605,5
local,14,0,0.2740295395255089,0.004354458815214457,0.12268066182732582,0.0011351809756888543,0.2696750804781914,5
local,14,1,0.6544330000877381,0.11886410489678383,1.0231449961662293,0.038389200903475286,0.5355688989162445,5
local,14,2,0.651372754573822,0.09804040938615799,0.7137698054313659,0.03417484611272812,0.5533323287963867,5
local,14,3,0.6331744968891144,0.08583158552646637,0.6115862309932709,0.026938619464635848,0.5473429203033447,5
local,14,4,0.5435280203819275,0.01673054872371722,0.3989624708890915,0.004580035660183057,0.5267974734306335,5
local,14,5,0.6727980971336365,0.3023101717233658,0.613196849822998,0.16544685438275336,0.3704879224300385,5
