layer,head,local_current_share,global_current_share,s_current_share,b_log_per_token_ratio,r_per_token_ratio,local_per_token_ratio,global_per_token_ratio,current_token_fraction,num_observations,b_quantile_class,s_threshold_class
10,11,0.5387784451246261,0.5619878962635994,0.5503831706941128,-1.039029955719443,0.8392382571359371,0.782502307742834,0.9014657512307167,0.7747186214834104,5,mixed,mixed
10,12,0.33206659331917765,0.3077838681638241,0.31992523074150087,-2.6651023931712188,0.20408319485949328,0.2266193304210901,0.18406207058578727,0.7747186214834104,5,memory_oriented_bottom20,mixed
10,13,0.34070524680428205,0.3533791120629758,0.34704217943362886,-3.100860858944939,0.2914210790017409,0.2671845904551446,0.31870829267427325,0.7747186214834104,5,memory_oriented_bottom20,mixed
10,14,0.4824074484407902,0.49874034970998765,0.4905738990753889,-0.9839454870843507,6.304420492775998,6.018483415991068,6.604040045663714,0.7747186214834104,5,mixed,mixed
10,15,0.5128539407625794,0.5190404424443841,0.5159471916034818,-1.2455789824145476,10.339193135716183,9.356707897968588,11.430430366890505,0.7747186214834104,5,mixed,mixed
10,16,0.5852552771568298,0.5854959890246391,0.5853756330907345,-0.28535634143254185,14.182779594822316,11.17227267883718,18.01557514593005,0.7747186214834104,5,current_oriented_top20,mixed
10,17,0.3581704381853342,0.3758324909955263,0.36700146459043026,-2.1196821338464464,1.2454761965854897,0.9312200235202909,1.6765880858525635,0.7747186214834104,5,mixed,mixed
10,18,0.2956374373286962,0.343634020537138,0.31963572893291714,-2.4877563381012786,0.5259193256887836,0.39853291064500806,0.6953337734565139,0.7747186214834104,5,mixed,mixed
10,19,0.7032814681529999,0.695891672372818,0.6995865702629089,-0.1329136069353237,1.548479362869117,1.5556397527456283,1.5444309175014497,0.7747186214834104,5,current_oriented_top20,mixed
10,20,0.4290969654917717,0.43947033733129504,0.43428365141153336,-1.6475148141934455,0.4528749360916053,0.4186926182359457,0.490482209995389,0.7747186214834104,5,mixed,mixed
10,21,0.39257691614329815,0.42211252078413963,0.4073447184637189,-2.0381982213740466,0.40016236423098783,0.32970645055174824,0.49649607427418224,0.7747186214834104,5,mixed,mixed
10,22,0.5649904394522309,0.5416332848370076,0.5533118621446192,-1.225047765618715,2.377840833855138,2.7668400944210587,2.103042468987405,0.7747186214834104,5,mixed,mixed
10,23,0.4913188040256499,0.49172079339623453,0.49151979871094226,-1.584636037296913,0.957699796470156,1.0797000050544738,0.8575280215591192,0.7747186214834104,5,mixed,mixed
10,24,0.490560220181942,0.5669581323862076,0.5287591762840748,-1.1926530001349551,0.5859704853018399,0.46171821355819703,0.7711698800325394,0.7747186214834104,5,mixed,mixed
10,25,0.49160754065960643,0.47203066702932117,0.4818191038444638,-1.7007753087623683,1.4141798548926292,1.3850927544757723,1.4530619046650828,0.7747186214834104,5,mixed,mixed
10,26,0.5166891667991876,0.5074244168587028,0.5120567918289453,-1.870192190503127,1.2820343186207102,1.1497045276686548,1.4796347070951015,0.7747186214834104,5,mixed,mixed
10,27,0.3317666722927242,0.26220691436901683,0.2969867933308705,-3.5321595703981457,0.16562861645996607,0.23050809080014,0.125147051399108,0.7747186214834104,5,memory_oriented_bottom20,mixed
11,0,0.7916108250617981,0.7830207586288452,0.7873157918453216,0.5929977733233067,8.700814757717124,8.552776801586152,8.853376257419585,0.7747186214834104,5,current_oriented_top20,current_mass_gt75
11,1,0.4633872866630554,0.4568714886903763,0.46012938767671585,-1.4809134420535894,2.585411732822013,3.0440956527367233,2.1998294910416005,0.7747186214834104,5,mixed,mixed
11,2,0.848062026500702,0.8556891560554505,0.8518755912780762,1.0764923023935475,9.736979809900442,9.101889503002166,10.420957267284393,0.7747186214834104,5,current_oriented_top20,current_mass_gt75
11,3,0.45705102309584617,0.4558907873928547,0.4564709052443504,-1.685283106660501,0.7799808921485567,0.8668096750974655,0.7057269606739283,0.7747186214834104,5,mixed,mixed
11,4,0.74966761469841,0.7375071227550507,0.7435873687267304,1.1030792260647608,21.650613011646747,19.148128101229666,24.53856517672539,0.7747186214834104,5,current_oriented_top20,mixed
11,5,0.7001810878515243,0.6936061799526214,0.6968936339020729,0.8471664360662429,32.885242769250056,31.461971293389798,34.388882325589655,0.7747186214834104,5,current_oriented_top20,mixed
11,6,0.47444127649068835,0.4654744639992714,0.46995787024497987,-1.3647342398534728,0.7532671431481381,0.7454394362866879,0.7624414443969727,0.7747186214834104,5,mixed,mixed
11,7,0.39367109090089797,0.36335206329822534,0.3785115770995616,-1.67628865016682,1.7552086777964953,2.0391166247427464,1.511623479053378,0.7747186214834104,5,mixed,mixed
