layer,kv_head,local_current_share,global_current_share,s_current_share,b_log_per_token_ratio,r_per_token_ratio,local_per_token_ratio,global_per_token_ratio,current_token_fraction,num_observations,query_heads_observed,b_quantile_class,s_threshold_class
5,2,0.09548604775457198,0.08648487415519324,0.09098546095488261,-3.6118149201054868,0.033295097305678985,0.03532594740041518,0.031653150311930126,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
5,3,0.23350211746452731,0.22419377475417354,0.22884794610935041,-2.9416805246418787,0.21764482158502713,0.217753601113842,0.22012489443050204,0.7408419067708049,203,7.0,mixed,memory_mass_lt25
6,0,0.21188599756840065,0.20937462064221002,0.2106303091053053,-3.9148106170621606,1.3461204894824634,1.2911253188791725,1.4257141435147602,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
6,1,0.12561614328470683,0.13049895830968627,0.12805755079719655,-3.5725137827792204,0.06107644468588138,0.0598725149635128,0.06271971652377546,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
6,2,0.28963301048563184,0.29460739744301484,0.2921202039643233,-2.3073191774953634,0.8766190936310619,0.7611219232535087,1.0336343071364322,0.7408419067708049,203,7.0,mixed,mixed
6,3,0.17179686874620492,0.17110320100446771,0.17145003487533633,-3.4666453037267244,0.2839797288327186,0.29915907091711097,0.27112020820216587,0.7408419067708049,203,7.0,mixed,memory_mass_lt25
7,0,0.061363674501991684,0.06505467815730306,0.06320917632964737,-4.987899941956426,0.02589635166121022,0.02535245282778429,0.027088995617364046,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
7,1,0.11886095582009959,0.12167270472686924,0.1202668302734844,-4.707518722904686,0.08688041174275198,0.08733010736634055,0.08785669503292848,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
7,2,0.09818983690658374,0.08870412142345725,0.0934469791650205,-4.0973049410684155,0.0406011535021749,0.04373552712160193,0.03814845116810419,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
7,3,0.09429384511410424,0.10070831549857552,0.09750108030633987,-4.003609910688181,0.0460267941992444,0.042558817486849955,0.05091918588393896,0.7408419067708049,203,7.0,memory_oriented_bottom20,memory_mass_lt25
