layer,kv_head,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations
10,0,0.9920719644079208,0.9920110071090917,0.7455970951279118,0.026369855474744984,0.7509158641070665,0.5308394238159914,0.05758290085941553,0.09466415178030729,4
10,1,0.9958615619043057,0.998147441311724,0.9235532667560434,0.028874874365816337,0.9269964810446584,0.4941555894110831,0.03920595860108733,0.07128633791580796,4
10,2,0.9968438573348409,0.9967141727120982,0.909414565948232,0.024233574555151648,0.9121529423387413,0.5056029893077889,0.041083046584390104,0.07515348261222243,4
10,3,0.9916386717527117,0.9928949637487834,0.8048289293381937,0.015802859646529804,0.8106528953437311,0.5271367128773017,0.023325837042648345,0.06358069356065243,4
11,0,0.9918156426691178,0.9914929845780478,0.6744289155762675,0.0224384912610009,0.6795414433905935,0.415015013282841,0.03189431838109158,0.05639354488812387,4
11,1,0.9945524502280437,0.9967147358325824,0.8487568844078383,0.020056790031183956,0.8529703071094095,0.45446183468620166,0.03328661434352398,0.08674005419015884,4
11,2,0.9808732866751566,0.9801613287826338,0.7116543348722424,0.028551301910744193,0.7233873264735223,0.4256158535241516,0.017373728973325342,0.04076654926757328,4
11,3,0.9636954852738842,0.9806299873204014,0.8178663147947631,0.03144666366004005,0.8455803243067196,0.3764402197295205,0.11772297136485577,0.18165873736143112,4
12,0,0.9974380721344809,0.9973386941269422,0.9059288747520478,0.03813238959356481,0.9081552532025972,0.6486778894645256,0.021245067939162254,0.04991341521963477,4
12,1,0.966761783238604,0.9774605126600402,0.7330643577149603,0.02158436536665244,0.7571378979163859,0.40930823623808565,0.053977299481630325,0.08998971059918404,4
12,2,0.9978286967766288,0.9982481403855341,0.9039932609456441,0.02201464836357182,0.9058939243526486,0.5001562969528655,0.07639820873737335,0.12475045397877693,4
12,3,0.9202707305520303,0.9366310993903263,0.7409847854137055,0.014302237264863479,0.8030173004862549,0.3975076526869935,0.04903879528865218,0.09052039682865143,4
13,0,0.9935451129593833,0.9929793436061927,0.8718128810838011,0.022044971766224938,0.8773664120695536,0.5855531732339542,0.04888234660029411,0.09174752607941628,4
13,1,0.9778734127242213,0.9770977093525972,0.6611070637317747,0.01766203167540517,0.6750054150789158,0.4213026907738108,0.02557113254442811,0.05942159960977733,4
13,2,0.9859527928090456,0.9856840280958289,0.8486065039575962,0.016451405777141947,0.8604571352541015,0.44377636852208246,0.04909632634371519,0.09965493343770504,4
13,3,0.9898563885351732,0.9890760403877602,0.7588356471297744,0.024451060198867447,0.7663516105065934,0.4561555793308903,0.05622114147990942,0.10602656472474337,4
14,0,0.798167573011369,0.8594810119883034,0.6838977454959296,0.021371588472601975,0.8602325024514155,0.2789589031192734,0.12548348680138588,0.2715437449514866,4
14,1,0.7975582720862389,0.8260234029727964,0.6327792637208183,0.022109419862202648,0.7847598355629096,0.34070293292735404,0.08089386112987995,0.13003334775567055,4
14,2,0.9715796058141187,0.9773395053398469,0.8369977394799648,0.022322100265990352,0.8610768205616833,0.4161927940020676,0.21841007424518466,0.27950205467641354,4
14,3,0.9693171489157342,0.9830138300754047,0.8242054229298061,0.02850443753041002,0.8490429661079627,0.47406958707281754,0.08639843668788671,0.14777512475848198,4
15,0,0.9477698551266377,0.9631887787877287,0.5614325899758736,0.01780777024663687,0.5873066008002761,0.39906443337322905,0.05222578905522823,0.0854921960271895,4
15,1,0.9843064917798511,0.9834735004617403,0.6717705148194952,0.02431817836182856,0.6817432326410422,0.3601599695679561,0.023131711059249938,0.05514001504343469,4
15,2,0.9001058907202522,0.9369325774499075,0.7092552347759851,0.021373353351047803,0.7878810887922171,0.2887435135594155,0.09535461105406284,0.17041205614805222,4
15,3,0.9780420114152288,0.980631162825077,0.6990079711251738,0.022587331441484674,0.7139580743147107,0.5434309764268896,0.03445822931826115,0.06619202625006437,4
16,0,0.9477271255763109,0.9727885803494035,0.7844459985546757,0.021664970002118963,0.8282027352612888,0.3657141003520414,0.11513282544910908,0.21357670798897743,4
16,1,0.9607738719670195,0.9888068404225665,0.8887825022758168,0.02198936896817469,0.9259091472501949,0.36030967002161446,0.16388102434575558,0.2956482023000717,4
16,2,0.9008684035392689,0.918938328049616,0.7727502792516576,0.02115936107521252,0.8569211249998919,0.43449833760804935,0.11425078753381968,0.18059143796563148,4
16,3,0.9717604234908637,0.9771032295077584,0.8235047615238525,0.026233133392854605,0.8453398350992409,0.649297556717948,0.040719910990446806,0.07541491184383631,4
17,0,0.9325506557805964,0.9306717919449259,0.7206801732608614,0.019526299474455538,0.7719838925023451,0.49468730143513445,0.03116730717010796,0.06589430500753224,4
17,1,0.9632523467391573,0.9850862830556657,0.846729636565217,0.029432728562659553,0.8789246626663884,0.4401447689482712,0.08859442081302404,0.17899814248085022,4
17,2,0.9262794185719746,0.9683883056748765,0.7948617442863648,0.025542524520380177,0.859737550230369,0.44257171933726486,0.09844369348138571,0.212131317704916,4
17,3,0.8902178053920549,0.8965071625899479,0.6284364449390827,0.0262777593878101,0.701173076144757,0.40253412055951393,0.07107917265966535,0.1329694427549839,4
18,0,0.9953043332285569,0.9956511933818237,0.8342097656528458,0.020240681646932445,0.8378914463342871,0.6126956842533403,0.03760379902087152,0.06689339783042669,4
18,1,0.9755203888742309,0.981195008744025,0.8453029511238176,0.017414038443418992,0.8658758163448704,0.6243544064186238,0.043750325217843056,0.08182553388178349,4
18,2,0.902985378972617,0.9063805998393943,0.6408525413295927,0.017024776195349502,0.7022706884866462,0.46983957921771463,0.08260693633928895,0.15309251844882965,4
18,3,0.9885943297523033,0.9920386990168961,0.7792603856898243,0.01978735731323171,0.787824470034377,0.636952710762584,0.03517899685539305,0.0645060958340764,4
19,0,0.9756968781312544,0.9844024465618049,0.7791145469865948,0.01890559600623029,0.7976708000144483,0.3838031943258275,0.11449306271970272,0.17004494927823544,4
19,1,0.9648285624048026,0.9671913540303844,0.5536927332698613,0.02038906880850745,0.5714153989615336,0.5619639921976102,0.040456472197547555,0.07514789351262152,4
19,2,0.7967142177416288,0.8069581716418346,0.5924019671309863,0.021538059543559685,0.7383830882350977,0.2882769098428826,0.18654350005090237,0.3495491072535515,4
19,3,0.8556067826857674,0.8961562175855491,0.5968396730106552,0.025838010841237692,0.693561811452302,0.3193764601875815,0.14927873387932777,0.20375692658126354,4
20,0,0.9372081304043112,0.9471237559521217,0.6279391165301504,0.028489333940284606,0.6673341615057948,0.385415678500532,0.046830819454044104,0.07049422338604927,4
20,1,0.921443880325542,0.9215305843534922,0.742819955447577,0.020278917736140815,0.8051278481990825,0.35919524318573914,0.14941210113465786,0.2438707910478115,4
20,2,0.9221906766975134,0.9080937438159942,0.59303943038199,0.01824100482531053,0.6374212794428957,0.29377387947609596,0.11744868103414774,0.19628124311566353,4
20,3,0.9224609898703088,0.9400291033260235,0.5736715873547964,0.021705746511598126,0.6169475255180636,0.29182640325264864,0.10778236575424671,0.18494950979948044,4
21,0,0.9235869181287608,0.9228908561710631,0.6535210117966175,0.026559382360895296,0.7046677969856456,0.3224229566383934,0.0976000726222992,0.1311367005109787,4
