video_idx,question_idx,chunk_idx,task,frame_start,frame_end,layer,kv_head,visual_start,pre_len,post_len,cached_kv_len,num_memory_tokens,num_boundary_tokens,num_internal_tokens,num_latest_tokens,top_k_eff,cov_int,cov_rand_int,cov_oracle_int,u_obs_int,boundary_ratio,future_mass_internal,selector_mass_internal,selector_mass_boundary,selector_mass_memory
0,1,1,Attribute Recognition,3,19,3,1,14,5493,27021,26924,5479,64,5415,21431,128,0.7617063010594999,0.032614258316379034,0.7742991792488481,0.9830212562842736,0.6097690280138325,0.0740119069814682,0.14279790222644806,0.223133847117424,0.36593174934387207
0,1,1,Attribute Recognition,3,19,3,2,14,5493,27021,26924,5479,64,5415,21431,128,0.8378225784891172,0.012411933563958073,0.8442527944284761,0.9922698965116137,0.6941052597411972,0.0912393182516098,0.11577703803777695,0.26270943880081177,0.3784864544868469
0,1,1,Attribute Recognition,3,19,3,3,14,5493,27021,26924,5479,64,5415,21431,128,0.7682817132880326,0.028389865253301786,0.770139811470513,0.9974949803596834,0.5354423655983495,0.04647144302725792,0.08093079924583435,0.0932796522974968,0.17421044409275055
0,1,1,Attribute Recognition,3,19,4,0,14,5493,27021,26924,5479,64,5415,21431,128,0.7740666175591889,0.017209873792005167,0.7877986762386018,0.9821797842937814,0.5931611884039465,0.07901124656200409,0.10760807245969772,0.15688994526863098,0.2644979953765869
0,1,1,Attribute Recognition,3,19,4,1,14,5493,27021,26924,5479,64,5415,21431,128,0.5188662617980312,0.0219760266271393,0.5508705248812372,0.9394883796488848,0.21127596632531165,0.030574215576052666,0.20372243225574493,0.0545712485909462,0.25829368829727173
0,1,1,Attribute Recognition,3,19,4,2,14,5493,27021,26924,5479,64,5415,21431,128,0.669754389054124,0.015542421548485646,0.6763782095799343,0.9899766013784879,0.6583866885109575,0.019373834133148193,0.03095664456486702,0.05966232717037201,0.09061897546052933
0,1,1,Attribute Recognition,3,19,4,3,14,5493,27021,26924,5479,64,5415,21431,128,0.525427185939357,0.02158814471885855,0.5354760258706521,0.9804454623258428,0.5053577984814978,0.02136858180165291,0.026569653302431107,0.02714524045586586,0.05371489375829697
0,1,1,Attribute Recognition,3,19,5,0,14,5493,27021,26924,5479,64,5415,21431,128,0.4919919745781449,0.01700977797969836,0.5470303468067516,0.8961580446749381,0.5643249472868085,0.05806047469377518,0.08950991183519363,0.11594118177890778,0.205451101064682
0,1,1,Attribute Recognition,3,19,5,1,14,5493,27021,26924,5479,64,5415,21431,128,0.7725254435849765,0.02132190753679812,0.7742587581042204,0.99769792842662,0.7246896136085995,0.04799658805131912,0.0843033641576767,0.22190874814987183,0.3062121272087097
0,1,1,Attribute Recognition,3,19,5,2,14,5493,27021,26924,5479,64,5415,21431,128,0.6589499664842883,0.019149369019342246,0.6948671333044589,0.9468459041340781,0.4865197869937253,0.06203056126832962,0.17450082302093506,0.1653386354446411,0.33983948826789856
