name,label,bin,x,mean_density,local_density,global_density
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),14,0.07250000000000001,8.408048560884903e-07,6.850509543759082e-07,9.965587578010724e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),15,0.0775,7.581683339554144e-07,6.675675712537148e-07,8.48769096657114e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),16,0.0825,1.0952586581173103e-06,9.825038946230182e-07,1.2080134216116027e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),17,0.08750000000000001,1.4221568684596216e-06,1.2043882122725336e-06,1.6399255246467095e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),18,0.0925,1.2786806996091724e-06,1.1654537967079444e-06,1.3919076025104005e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),19,0.0975,2.044807396929725e-06,1.673329457219097e-06,2.4162853366403525e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),20,0.10250000000000001,9.157606477572244e-07,7.76688114204457e-07,1.0548331813099919e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),21,0.1075,1.0447470023068815e-06,8.917690753459542e-07,1.1977249292678088e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),22,0.1125,1.0565361878077186e-06,8.85045837760247e-07,1.22802653785519e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),23,0.11750000000000001,3.585462769097246e-06,2.8866353492925815e-06,4.28429018890191e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),24,0.1225,2.413683620464521e-06,2.1271013252999182e-06,2.7002659156291235e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),25,0.1275,1.9627636841538073e-06,1.6199000754113513e-06,2.3056272928962632e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),26,0.1325,1.2185765986113698e-06,1.1361842585496821e-06,1.3009689386730576e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),27,0.1375,1.204549738937593e-06,1.0796296245579079e-06,1.3294698533172777e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),28,0.14250000000000002,1.1267379725105845e-06,9.938289947188293e-07,1.25964695030234e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),29,0.1475,1.644143499187781e-06,1.4237614323064918e-06,1.8645255660690703e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),30,0.1525,8.803568941776315e-07,8.154507591078592e-07,9.452630292474038e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),31,0.1575,7.70345126608975e-07,6.509131610852949e-07,8.89777092132655e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),32,0.1625,8.335105456629727e-07,6.861719035506602e-07,9.808491877752852e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),33,0.1675,1.1457723719640204e-06,1.068949160298871e-06,1.2225955836291696e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),34,0.17250000000000001,8.332122983948205e-07,7.759904393976415e-07,8.904341573919997e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),35,0.17750000000000002,9.344955986177541e-07,8.958521188365662e-07,9.731390783989419e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),36,0.1825,8.83729447715658e-07,8.168792606154187e-07,9.505796348158973e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),37,0.1875,1.2095980349410444e-06,1.1148911797574459e-06,1.304304890124643e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),38,0.1925,8.132994290731079e-07,7.226268954647302e-07,9.039719626814855e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),39,0.1975,6.054934184009296e-05,9.144844269875258e-05,2.9650240981433334e-05
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),40,0.2025,0.000316879160352406,0.00030552938900590173,0.0003282289316989103
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),41,0.20750000000000002,2.084422161731579e-06,1.7954643425355243e-06,2.3733799809276334e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),42,0.2125,1.6477343301854068e-06,1.445210518369322e-06,1.8502581420014913e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),43,0.2175,0.0005570081858579101,0.0005806364242256937,0.0005333799474901266
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),44,0.2225,3.557494056037415e-06,3.0314030985729393e-06,4.083585013501891e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),45,0.2275,2.704585295276729e-06,2.1841584337981397e-06,3.2250121567553184e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),46,0.2325,1.8397638368940406e-06,1.5784510095175262e-06,2.1010766642705548e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),47,0.23750000000000002,1.4788841069852358e-06,1.2410221665553372e-06,1.7167460474151345e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),48,0.2425,1.3484782717755806e-06,1.1622726806389698e-06,1.5346838629121912e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),49,0.2475,1.3712316818522855e-06,1.1685844997698171e-06,1.573878863934754e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),50,0.2525,1.200961133715087e-06,1.06605925306472e-06,1.335863014365454e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),51,0.2575,1.4409320609079908e-06,1.2863381024479686e-06,1.595526019368013e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),52,0.2625,1.198708622902294e-06,1.0482049097910412e-06,1.3492123360135468e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),53,0.2675,4.5912766491288236e-05,7.126671182991881e-05,2.0558821152657663e-05
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),54,0.2725,4.2805463938374745e-05,4.373480922075552e-05,4.1876118655993976e-05
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),55,0.2775,1.6412723746433196e-06,1.3911758246974517e-06,1.8913689245891874e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),56,0.28250000000000003,1.4969465240710633e-06,1.2653076656273958e-06,1.7285853825147309e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),57,0.28750000000000003,1.6923523255789926e-06,1.4811378434842482e-06,1.9035668076737368e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),58,0.2925,1.398246863816764e-06,1.1552888768814488e-06,1.6412048507520791e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),59,0.2975,1.9373582326969493e-06,1.5781225093698076e-06,2.2965939560240907e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),60,0.3025,2.2807130639941013e-06,2.0315993530013136e-06,2.529826774986889e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),61,0.3075,2.382053911073204e-06,1.8740963858882814e-06,2.8900114362581268e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),62,0.3125,1.4083104267521255e-06,1.1881902253207954e-06,1.6284306281834558e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),63,0.3175,2.9536960499042057e-06,2.5627477465864753e-06,3.3446443532219357e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),64,0.3225,1.3734758275469564e-06,1.2041930728758286e-06,1.5427585822180845e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),65,0.3275,1.2663558663916774e-06,1.1067646141782461e-06,1.4259471186051087e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),66,0.3325,1.020115738421217e-06,9.100746426936115e-07,1.1301568341488227e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),67,0.3375,9.578695576400217e-07,8.211930508293465e-07,1.0945460644506966e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),68,0.3425,9.577796455622386e-07,8.341193376639109e-07,1.081439953460566e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),69,0.34750000000000003,8.214788757803554e-07,6.980997316726903e-07,9.448580198880206e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),70,0.35250000000000004,7.337640387358339e-07,6.512099020028472e-07,8.163181754688204e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),71,0.3575,9.322964505794777e-07,7.895596029681786e-07,1.0750332981907768e-06
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),72,0.3625,7.611708931725454e-07,6.988309816538926e-07,8.235108046911981e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),73,0.3675,7.525375492280415e-07,6.594993676247083e-07,8.455757308313747e-07
top_L14_KV0,top L14-KV0 (score sum=2.98e+03),74,0.3725,8.404891157657142e-07,7.575897841759018e-07,9.233884473555268e-07
