class,bin,x,mean_density,local_density,global_density
current,93,0.4675,3.4859029718538954e-06,3.7508789820956785e-06,3.220926961612113e-06
current,94,0.47250000000000003,5.875184576141591e-06,6.19691093309679e-06,5.553458219186393e-06
current,95,0.47750000000000004,3.805393967083647e-06,4.074378988353341e-06,3.536408945813952e-06
current,96,0.4825,6.042212586219665e-06,6.353354651521061e-06,5.731070520918271e-06
current,97,0.4875,3.686507989611274e-06,3.915702010671894e-06,3.4573139685506533e-06
current,98,0.4925,7.518144256410577e-06,7.907232865269274e-06,7.129055647551881e-06
current,99,0.4975,5.249123914589368e-06,5.711701311051675e-06,4.786546518127059e-06
current,100,0.5025,1.1122985399806979e-05,1.1584124852202439e-05,1.066184594741152e-05
current,101,0.5075,6.629684501928141e-06,7.026100480597311e-06,6.233268523258972e-06
current,102,0.5125,2.340173810725074e-05,2.453865431931121e-05,2.226482189519027e-05
current,103,0.5175,8.730283755579722e-06,9.427978571832315e-06,8.03258893932713e-06
current,104,0.5225,9.058158991482056e-06,9.567883981387015e-06,8.548434001577098e-06
current,105,0.5275,5.427332435037779e-06,5.802026669096142e-06,5.052638200979416e-06
current,106,0.5325,8.603297373881176e-06,9.036490600048826e-06,8.170104147713526e-06
current,107,0.5375,4.5200710101471786e-06,4.800046398797834e-06,4.2400956214965235e-06
