class,bin,x,mean_density,local_density,global_density
memory,146,0.7324999999999999,1.0330152344034167e-06,1.2456474473543944e-06,8.20383021452439e-07
memory,147,0.7374999999999999,1.1530977998704244e-06,1.396343428070082e-06,9.098521716707667e-07
memory,148,0.7424999999999999,1.0876418972617995e-06,1.324504433588212e-06,8.507793609353868e-07
memory,149,0.7474999999999999,1.4802305102165662e-06,1.7689906216346217e-06,1.1914703987985104e-06
memory,150,0.7525,1.3541804008532944e-06,1.6240589208006317e-06,1.0843018809059568e-06
memory,151,0.7575,2.1317775470762415e-06,2.4606734425066104e-06,1.8028816516458723e-06
memory,152,0.7625,1.6684287024618215e-06,1.97916534181355e-06,1.3576920631100927e-06
memory,153,0.7675,2.294375920468002e-06,2.7835706425783536e-06,1.8051811983576504e-06
memory,154,0.7725,2.2009414182894655e-06,2.7012926661232735e-06,1.7005901704556571e-06
memory,155,0.7775,1.681694516928946e-06,2.02070918635695e-06,1.342679847500942e-06
memory,156,0.7825,1.5582081757763894e-06,1.8674812433535219e-06,1.248935108199257e-06
memory,157,0.7875,1.720021734461421e-06,2.055498925400358e-06,1.3845445435224844e-06
memory,158,0.7925,1.5801273455629706e-06,1.9022354988154886e-06,1.2580191923104524e-06
memory,159,0.7975,2.146628928384248e-06,2.5368061618446636e-06,1.756451694923832e-06
memory,160,0.8025,9.313573340615936e-06,1.1182350855411736e-05,7.444795825820135e-06
memory,161,0.8075,5.885888794121119e-06,7.386560804397427e-06,4.3852167838448116e-06
memory,162,0.8125,2.677629059430079e-06,3.252966480955637e-06,2.102291637904521e-06
memory,163,0.8175,2.8308835990631673e-06,3.6479849845656124e-06,2.0137822135607225e-06
memory,164,0.8225,1.6294104880246293e-06,1.9648686649783746e-06,1.293952311070884e-06
memory,165,0.8275,1.1657521784255467e-06,1.400964020302144e-06,9.305403365489495e-07
memory,166,0.8325,1.5487058528305755e-06,1.8483918948619816e-06,1.2490198107991693e-06
memory,167,0.8374999999999999,1.2590062481501128e-06,1.5296187084518292e-06,9.883937878483964e-07
memory,168,0.8424999999999999,1.4081685331210817e-06,1.701697432824031e-06,1.114639633418132e-06
memory,169,0.8474999999999999,1.5011508134206267e-06,1.8064766413255546e-06,1.195824985515699e-06
memory,170,0.8524999999999999,1.7200724261950602e-06,2.0499313099984554e-06,1.390213542391665e-06
memory,171,0.8574999999999999,1.7199668705961663e-06,2.0571626556794434e-06,1.3827710855128894e-06
memory,172,0.8624999999999999,1.988337016327209e-06,2.3882321311905253e-06,1.5884419014638924e-06
memory,173,0.8674999999999999,2.5983058443514083e-06,3.1821279927489977e-06,2.014483695953819e-06
