layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,spiky_readout_score,internal_readout_share,memory_readout_share,current_readout_share,current_core_readout_share,clean_internal_readout_share,internal_topk_concentration,internal_top1_concentration,internal_top4_concentration,internal_top8_concentration,internal_top100_mean_attention,internal_peakiness,internal_peak_to_median,internal_log_peak_to_median,previous_boundary_ratio,current_start_boundary_ratio,transition_boundary_ratio,boundary_ratio,boundary_suppression,num_observations
3,1,0.12984554458092765,0.10278415201923766,0.05874062890043476,0.1952682842990289,0.3797281050125524,0.8368810831850512,0.16311891970772802,0.15893699334940692,0.6844343930899973,0.5665401728246018,0.06873080669873821,0.20177559821611535,0.3074493616089676,0.002140921853481359,0.4230869051069021,58691.28680828144,9.82481693042359,0.28490397364164005,0.02789052722042775,0.46133489504801206,0.46133489504801206,0.5386651049519879,80
3,2,0.12270259078411261,0.10710552809652224,0.052797399983262584,0.1979808608564567,0.43174936886795506,0.8800080588923331,0.11999195287391698,0.11547001272105073,0.7398269983671643,0.5164066053593869,0.07257994086255438,0.19460022674497252,0.2869782509493676,0.002393774328820086,0.4038216877728701,178623.00140805292,10.08831494715307,0.2713037318062199,0.04098676726999219,0.4527806311744825,0.4527806311744825,0.5472193688255176,80
3,3,0.16509007959261887,0.11229271121865561,0.08263591795692267,0.3932948764630748,0.4156799133781595,0.8438950201015618,0.1561049798973751,0.14871386361840153,0.6941921240367291,0.5780313833849207,0.08964206787031612,0.25851444570968063,0.37338704410382906,0.002298734744098985,0.41396983042359353,67924.10507376528,9.351796113673384,0.3183240601544365,0.04927205657473164,0.43560623411950755,0.43560623411950755,0.5643937658804925,80
4,0,0.1129762142415777,0.11862506218449653,0.04849644894312929,0.13370101153322908,0.3536544496923946,0.8374421212349612,0.16255788137888466,0.15655644082937897,0.6190870304184186,0.5332468699814693,0.05214478950884188,0.1603560551884374,0.2580789721919102,0.0014315579247295318,0.38832870684564114,23095.80825688436,9.115385044932308,0.3205156163554962,0.04154948188482806,0.4897891122491281,0.4897891122491281,0.510210887750872,80
4,1,0.15102567627956776,0.1350187715844066,0.08145342770961887,0.4623930998895756,0.330970316815723,0.8619323594846957,0.1380676501001642,0.1360064029374764,0.6338072088918526,0.6204475636051147,0.1287434387352584,0.3233160255041057,0.43927514234622045,0.0007475104029538215,0.42822837494313715,56936.8419882335,9.185086727841934,0.35576694933575054,0.019663795793414558,0.5330232861602842,0.5330232861602842,0.4669767138397158,80
4,2,0.11596665839980005,0.08432636133230254,0.056138972553193035,0.27413786134163576,0.31659526236872815,0.8469068981659797,0.15309311562680272,0.1496733553584255,0.6194820041340493,0.5735871160879615,0.10229019460284812,0.25335985552219087,0.3488865637666665,0.0010915408783006343,0.4139372378587723,147963.26983520397,9.746014786815188,0.38843345184821154,0.027771539188221478,0.5337313914670747,0.5337313914670747,0.4662686085329253,80
4,3,0.11857285018329496,0.08503435075465224,0.05466257911021277,0.2728271937532691,0.3442176196367997,0.8305898104216636,0.16941018368253688,0.16225397724488147,0.6159467010085854,0.5381359426939194,0.10658508479091636,0.2581656958361374,0.3482122561385877,0.000801230911224593,0.375963031873107,26342.05622306108,8.704588593531504,0.4082181410701879,0.05346700994607093,0.4935283900478975,0.4935283900478975,0.5064716099521025,80
5,0,0.15071543107010768,0.13300433380358512,0.06717780910635342,0.2175377295451067,0.4087752438099127,0.8104971371914133,0.18950285547864276,0.18469963468940925,0.6753859000826982,0.5850281769757089,0.0691999285217822,0.2018999364514355,0.3070818845985105,0.002005639327433073,0.4228117063641548,127256.53335121006,9.639212678290715,0.27363587527995836,0.02855404936485814,0.40652511819915393,0.40652511819915393,0.5934748818008461,80
5,1,0.1503845081249509,0.1389102305749686,0.06929712053062285,0.22013177024360986,0.44333828460580316,0.9278366464765316,0.07216334564638086,0.06865753349474848,0.8108301460000049,0.6060464049286648,0.06792671481947299,0.19997882408189033,0.3095932782330721,0.0018278799893323594,0.4487059127539396,56847.35360209396,10.250988879376902,0.25874056723003025,0.05680835515176458,0.48800418586472183,0.48800418586472183,0.5119958141352782,80
5,2,0.17059726131843597,0.1491723780873938,0.08355825925964634,0.3425480933261858,0.44140664067172136,0.9479685621133942,0.052031436733882164,0.0500545855006783,0.8241269667967666,0.6540120259637041,0.09728735259222557,0.25814860770239006,0.37809882815896023,0.001732000768316766,0.46942676939070227,88085.28456419718,10.43728170849472,0.31323107487800667,0.049312392509417796,0.5085387711211123,0.5085387711211123,0.49146122887888766,80
