layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_peakiness,boundary_ratio,boundary_suppression,num_observations
4,0,0.06352574065163447,0.008186742898490543,0.029589599254530616,0.17882949442275806,0.5942732458410634,0.4057267773162306,0.5733470831117891,0.37805333733558655,0.6935449701909596,0.3064550298090403,4
4,1,0.0970268186837107,0.06673028423616942,0.044193237293859676,0.2408688591382786,0.7754550013414372,0.22454496722706274,0.47950540018439847,0.31909364461898804,0.6659314524181029,0.3340685475818971,4
4,2,0.013215353979292653,0.0029936962980705592,0.0051704323012895705,0.08070244877460163,0.4979402622924115,0.502059739839821,0.41158825894668105,0.2527059465646744,0.7823942771797978,0.21760572282020224,4
4,3,0.021767579227356487,0.018041117822237367,0.004210681360437597,0.1441536554356643,0.46813056379377677,0.5318694306320944,0.30851586009428866,0.19078823924064636,0.5822093259434404,0.4177906740565595,4
5,0,0.013495153988563758,0.01085693563941114,0.003718835337682299,0.11933971967915881,0.3919565741425904,0.6080434527709015,0.32765993120477227,0.2125980257987976,0.62487897454989,0.37512102545010995,4
5,1,0.04322834401663827,0.016289216041255838,0.021220984069625616,0.13861111806934867,0.6040784782872352,0.3959215348136321,0.5159777772045093,0.33750292658805847,0.7122782753249167,0.2877217246750833,4
5,2,0.022112610622509948,0.021660307313523294,0.009507759890901427,0.13338193426424996,0.6900682745698916,0.30993169334015064,0.4235683667682313,0.2763811945915222,0.8020215705645155,0.19797842943548452,4
5,3,0.00943765191731425,0.006021557151566197,0.004242424800901186,0.060927567946054105,0.5816955171132918,0.4183045321748269,0.4676310891830585,0.3068079650402069,0.790650449446541,0.20934955055345902,4
6,0,0.003356920917582075,0.001392266257548954,0.0012411529754186709,0.028100122568053592,0.3568003238237738,0.6431996272862937,0.632610688717596,0.42427290976047516,0.8333201901996505,0.1666798098003494,4
6,1,0.031469454820430266,0.006633277626991731,0.015261592459434255,0.1219076787478554,0.5666449132188446,0.4333551300517169,0.4783893441041759,0.3333059772849083,0.706152026368404,0.293847973631596,4
6,2,0.004418734915600713,0.0028394821480434923,0.0007963635850386475,0.05334392183611289,0.3488954076086526,0.6511046121902138,0.366621335473833,0.22459322214126587,0.7205135178180163,0.2794864821819837,4
6,3,0.024127089462054756,0.008567853992455299,0.006349230564845384,0.12029872343458864,0.47533788272784716,0.5246621249682293,0.3804653133257496,0.22468604147434235,0.6728691774279174,0.32713082257208265,4
7,0,0.010506479786410904,0.0013368174080058044,0.005861456623985909,0.04234823839035674,0.6444254904970003,0.355574501957429,0.580922746608787,0.36874908953905106,0.8433558153203444,0.1566441846796556,4
7,1,0.01603434486924765,0.00379350504146649,0.00757405435179986,0.08521284379679447,0.6038580737920923,0.39614189616884066,0.5529270953181283,0.35303734242916107,0.7824996199921551,0.21750038000784486,4
7,2,0.026924982071522167,0.012149905644400593,0.010665560003414763,0.13367520539011066,0.6179800492967472,0.38201996310791025,0.5279425196183005,0.3232240676879883,0.769959981281594,0.23004001871840593,4
7,3,0.03637704451522556,0.016417272796686873,0.014924045847471633,0.15620796524272554,0.5728765952731287,0.42712338310475984,0.5230919429742504,0.36212442070245743,0.6825264714469181,0.31747352855308186,4
8,0,0.02147251124146615,0.009631312849994923,0.010714597767775058,0.09718706782056384,0.4075827338082638,0.5924172476535259,0.5053317945629306,0.351888969540596,0.6861714953337507,0.31382850466624934,4
8,1,0.04419016044469564,0.004767032736363431,0.014447182909141465,0.15469228884240382,0.5186830562801363,0.4813169804575748,0.42819374472657973,0.29653580486774445,0.6701702435074858,0.32982975649251417,4
8,2,0.009650187298986462,0.009478219943005827,0.0034683085147104082,0.07072383591345344,0.4694315336213404,0.5305684525791783,0.5621098537930408,0.3750489726662636,0.7065187082568828,0.2934812917431172,4
8,3,0.05674578661869441,0.037390017415348,0.029262501645265847,0.16105705765648043,0.569427821220931,0.43057215021029177,0.5669749732945043,0.36636919528245926,0.6830175050483025,0.3169824949516975,4
9,0,0.04336982110176601,0.006079001899613872,0.024688740327795503,0.1239711125300918,0.46969635517286756,0.5303035892389124,0.44382273611806144,0.31436534970998764,0.6945895915793826,0.30541040842061745,4
9,1,0.04164309381033535,0.0040713666504282086,0.022755445720613977,0.11780807379076816,0.5761253798829816,0.42387466582984146,0.4762645466830677,0.32436294853687286,0.7507879439634468,0.2492120560365532,4
9,2,0.01758104150209736,0.008231674607782076,0.005988650243271167,0.09790421959228952,0.3969929720348798,0.6030070396571746,0.3966807912470346,0.2695169597864151,0.6961146983867947,0.30388530161320526,4
9,3,0.02624485039449839,0.009848722417174435,0.013211842803188593,0.1135652853675135,0.3942103119930816,0.6057897061353,0.440895474943997,0.3355643004179001,0.6618063569997992,0.3381936430002009,4
10,0,0.012417056715410268,0.006873497334701572,0.003073156681358393,0.09500504960582364,0.39840921613538727,0.6015908176251993,0.3174527918900115,0.21852734684944153,0.6877688358253733,0.31223116417462676,4
10,1,0.02114254730016748,0.0007729256522207395,0.01404175582618996,0.05994038830994575,0.44635754957867835,0.5536424063868719,0.43592596957135754,0.3210383877158165,0.7739843870099316,0.2260156129900684,4
10,2,0.0024256658885566684,0.002476768178965429,0.000792567457580092,0.043313703793994296,0.33046555196786154,0.6695343930554614,0.3898578657055297,0.28488457947969437,0.7301388395133743,0.2698611604866257,4
10,3,0.005792285376520749,0.005387201791024039,0.0016234126244459531,0.05602161205409571,0.4039702740678846,0.5960297245188795,0.4981412799774785,0.3184278756380081,0.7926224689886932,0.2073775310113068,4
11,0,0.003608681527456773,0.0028529165204942367,0.0006437477104121552,0.04977246206492395,0.203473914940821,0.7965260967991711,0.28508928408557854,0.20005109906196594,0.5755409774604837,0.4244590225395163,4
11,1,0.006032750426575715,0.004250786974974033,0.0024756011596936463,0.05351352409928521,0.39084400026792276,0.6091559829636277,0.38353458456789213,0.25591839849948883,0.805458912713238,0.194541087286762,4
11,2,0.008424388836531462,0.003698056488562293,0.0018676545906952317,0.06374497196203587,0.3778303618987576,0.6221696220779265,0.4770703952933224,0.315707191824913,0.6965607475890336,0.30343925241096636,4
11,3,0.02028018209462166,0.004139891271105096,0.007676073595790459,0.11112620328322748,0.4770214227331019,0.5229785535930818,0.33981887027621094,0.2439567595720291,0.7477528972200995,0.2522471027799004,4
12,0,0.006773773635505673,0.0017141879038720727,0.0018352498973822212,0.06964194517394527,0.4679520674550487,0.5320479532281293,0.312152451082024,0.2235487848520279,0.826481368729833,0.17351863127016695,4
12,1,0.01041666952199431,0.0038212993412721696,0.0024729271873142953,0.08493458399795233,0.2773826429078073,0.7226173611565541,0.2209994716989297,0.18630464375019073,0.6278963472586805,0.37210365274131957,4
12,2,0.03210557824359562,0.00611132325080202,0.015336558678940931,0.12263171738761083,0.5498230123395647,0.4501769592994549,0.4515211897253572,0.3065502494573593,0.7633397909159688,0.2366602090840312,4
12,3,0.006237489360434133,0.00761175180234549,0.002075280813529822,0.06481799646786511,0.3929281009998068,0.6070719253041864,0.40000896670909536,0.28784705698490143,0.7690198710741982,0.23098012892580172,4
13,0,0.02267674083483676,0.0020404075883061843,0.008840066279722988,0.10831115955065518,0.510948001618925,0.4890519818678285,0.36647486642417054,0.28161509335041046,0.7404914965642659,0.2595085034357341,4
13,1,0.005118534883528546,0.0014055023213232665,0.0009926316262933539,0.05776647729526262,0.38824036415560575,0.6117596521496531,0.2278680454502997,0.15977606177330017,0.738290673002932,0.26170932699706795,4
